id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,research_hash,official_calls,formal_test_count,route_compute_ms_p95,decision_compute_ms_p95,support_visits,route_refresh_count
0,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,10,10,6837.625093,683.7625092999999,683.7625092999999,23483.125463033117,353,326,10,0,2.329781099993852,coverage_exhausted,user_exit,0,0,7,5ca4e5d5b5b357cfa2de319d08d344edcb68f83a1e184d6594c19aa7d41356d0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,5254.2665130000005,1087.1413189999992,0.0,0.0,496.2172610000001,53.0,5935.298086,593.5298086,6837.625093,760.8351990000001,368.8530559999999,37,10,25,337,3251.2665130000005,1685.0,318.0,25.0,125.0,25.0,62.0,310.0,61.0,250.0,1250.0,232.0,True,False,True,,,,,61,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,19.776550012466032,4.004700000223238,0,51
1,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,11,11,6421.896412,583.8087647272728,583.8087647272728,22149.482078323188,327,302,11,0,2.2552446000045165,coverage_exhausted,user_exit,0,1,8,72ad836b15df6782b9be129feeafb8d0f7eb7f7282aa8260efe297efac923231,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4708.941457999999,1254.6793670000002,25.223748000000114,0.0,433.05183899999975,23.0,2844.288835,258.57171227272727,6421.896412,2884.541146,1489.6477340000001,165,72,25,311,2860.9414580000002,1555.0,293.0,49.0,245.0,45.0,37.0,185.0,36.0,225.0,1125.0,212.0,True,False,True,,,,,87,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,17.96190000459319,2.594850004243199,0,51
2,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,12,12,6942.591241,578.5492700833333,578.5492700833333,24912.95619532851,321,295,12,0,1.4756912000011653,coverage_exhausted,user_exit,0,0,4,dd71e9e82b09cf682481a425e20e13f660343cf8dfd5e81213af1a921fa11d91,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,5163.389506,943.1232339999997,0.0,0.0,836.078501,17.0,6086.079248,507.17327066666667,6942.591241,701.4175270000005,345.43538400000034,29,8,25,308,3335.3895060000004,1540.0,288.0,34.0,170.0,34.0,74.0,370.0,73.0,200.0,1000.0,181.0,True,False,True,,,,,71,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,12.868875002459388,1.4558299997588615,0,50
3,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,13,13,6538.695627,502.9765866923077,502.9765866923077,23368.47814515094,304,280,13,0,1.1766338000015821,coverage_exhausted,user_exit,0,1,3,b3d31e6f53cde2340e0d3719da87d91736f816449d2e83c6edf867268be76ba2,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,5019.2597620000015,917.5522480000002,57.632388999999876,0.0,544.251227999999,47.0,3834.147026,294.9343866153846,6538.695627,2267.7523970000007,223.1108860000004,100,14,25,290,3298.259762000001,1450.0,271.0,56.0,280.0,49.0,59.0,295.0,57.0,175.0,875.0,165.0,True,False,True,,,,,96,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,12.750499990943354,1.9454499997664243,0,51
4,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,14,14,6283.181542,448.7986815714286,448.7986815714286,23020.907723886667,272,249,14,0,1.6445704999932786,coverage_exhausted,user_exit,0,0,5,75a30ac5d7d468ce92198bb84fc945627b80c1353ab9b27b07f18534d6076f0c,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4640.9256270000005,1041.8895670000004,0.0,0.0,600.3663479999993,17.0,3987.557756,284.825554,6283.181542,1935.1769620000005,835.7165210000003,78,30,25,260,3099.9256270000005,1300.0,241.0,70.0,350.0,65.0,40.0,200.0,39.0,150.0,750.0,137.0,True,False,True,,,,,110,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,10.83459999790648,2.216599998064339,0,51
5,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,15,15,6694.064485,446.27096566666665,446.27096566666665,25115.32242686634,270,246,15,0,2.0799311000009766,coverage_exhausted,user_exit,0,3,4,7bc2efcf7ca9f0f9fc27db5666c65c7d517e967913e0cbdf989100980fe1181d,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4586.1524039999995,1221.396641999999,196.0557960000001,0.0,690.4596430000014,47.0,4779.249156,318.6166104,6694.064485,1529.003256,1003.6626639999995,52,30,25,250,3101.1524039999995,1250.0,235.0,51.0,255.0,50.0,74.0,370.0,70.0,125.0,625.0,115.0,True,False,True,,,,,101,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,11.449199993512588,2.0000600052298974,0,57
6,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,16,16,6894.341246,430.896327875,430.896327875,24166.7062334858,334,311,16,0,1.8632881000085035,public_max_cleared,user_exit,0,3,15,147d73c16e226df5acd5e8eadf7ccdffa1c446805934f3d4f9d7f40a3e54b2b3,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4348.715117000001,1338.3813519999992,344.32137299999977,0.0,862.923404,11.0,6262.409456,391.400591,6262.409456,0.0,0.0,0,0,21,311,2494.715117000001,1555.0,299.0,79.0,395.0,71.0,151.0,755.0,148.0,81.0,405.0,80.0,True,True,True,6262.409456,12.0,4.0,631.9317899999996,134,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,10.703149995242711,1.7585599998710677,0,47
7,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,10,10,6845.871923,684.5871923,684.5871923,23284.359620096653,361,334,10,0,1.5887404999957653,coverage_exhausted,user_exit,0,2,9,eb82928e30f95991ac94e43889af9467f021015249bc0d6cfa04a4ec80c4b92a,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,5325.62048,887.61034,270.0522460000002,0.0,362.5888569999999,11.0,6380.069486,638.0069486,6845.871923,340.1365049999986,237.1543619999993,21,10,25,345,3274.6204799999996,1725.0,326.0,36.0,180.0,32.0,59.0,295.0,51.0,250.0,1250.0,243.0,True,False,True,,,,,72,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,9.688679996179415,1.6606000048341227,0,49
8,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,11,11,7143.64813,649.4225572727272,649.4225572727272,25103.24065145727,348,328,11,0,1.1709258999908343,coverage_exhausted,user_exit,0,0,7,caea317aac700a8a67a43fdca59ef6a2fc2fd9287126ba498ef6871dee783490,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,5248.063434999998,1259.1172970000007,0.0,0.0,636.4673980000003,5.0,6399.446928,581.7679025454546,7143.64813,605.6827249999988,324.99953599999935,32,18,25,335,3255.063434999998,1675.0,318.0,38.0,190.0,38.0,72.0,360.0,71.0,225.0,1125.0,209.0,True,False,True,,,,,73,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,9.498999998322688,1.2963199958903695,0,49
9,development,native_strict_mixed_N_stratified,A1,FULL_CLEAR,,12,12,6592.721325,549.3934437500001,549.3934437500001,22908.606633998,329,306,12,0,1.1181404999952065,coverage_exhausted,user_exit,0,3,2,8415d2c1605e737823f3fdfd0eb23fdcbfc0516912cae06a55ff51ae2a58fef5,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4780.19224,992.8211050000011,130.84320900000057,0.0,688.8647709999982,29.0,4539.335258,378.2779381666667,6592.721325,1659.4636010000004,1647.4636010000004,74,72,25,316,2903.1922400000003,1580.0,297.0,68.0,340.0,68.0,48.0,240.0,48.0,200.0,1000.0,181.0,True,False,True,,,,,105,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,13.215690007200452,2.462199999717994,0,47
