cohort,method,N,n,mean,improvement_pct,normalized_variance,CV,P95,max
development,A1,10,19,689.1378880894737,3.7663445646075044,0.002688301697184258,0.051848835061014224,738.3150595899999,762.42052
development,A1,11,19,625.1569591866029,0.8011715514908313,0.0026012227727504698,0.05100218399980994,678.8381900636363,687.6959636363637
development,A1,12,18,572.9452882685185,1.823232105651884,0.0024203604204112543,0.0491971586619721,619.5091611541667,622.2030533333333
development,A1,13,18,539.8885269188034,2.8203895409026236,0.0045054582732332715,0.06712271056232214,598.1385796423076,623.5591261538461
development,A1,14,18,492.9958328730159,1.3776543282048248,0.004600168752059791,0.0678245438765333,554.0231317571428,555.9289995714286
development,A1,15,18,465.4343149148148,-1.3758303336649513,0.003958538413766287,0.06291691675349555,518.6442477866667,537.5568187333333
development,A1,16,18,367.51647615972223,5.59128460627708,0.027623816270083014,0.16620414035180658,436.2399832437499,466.520697
development,B-lite,10,19,745.970496131579,-4.169962108330205,0.004235662233734786,0.0650819655030085,823.5154019700001,826.2017631000001
development,B-lite,11,19,661.095402521531,-4.901478675304238,0.0033785486125514916,0.05812528376319111,715.9416818454546,718.3525235454546
development,B-lite,12,18,610.636151412037,-4.635267856467751,0.005472518007380423,0.07397646928166025,665.4944246458332,696.8650661666667
development,B-lite,13,18,578.0833804487179,-4.054661145509897,0.004061569037752603,0.06373044043275243,656.61760105,667.0488475384616
development,B-lite,14,18,540.3301476746032,-8.091434141153764,0.004027136942214457,0.06345972693145203,583.4234721535714,588.7303002857143
development,B-lite,15,18,511.67897857777785,-11.448339014491316,0.0025917841193291644,0.05090956805286374,562.8310020566666,576.7086777333334
development,B-lite,16,18,420.0682751701389,-7.90837638319748,0.006929507274247984,0.08324366206653805,466.16235125624996,470.6254586875
development,C1,10,19,716.1090212894737,0.0,0.005164711653846598,0.07186592832383508,775.6526055699999,813.9605859999999
development,C1,11,19,630.2059902966507,0.0,0.0019506652001703663,0.04416633559817212,671.1411463727272,690.230715090909
development,C1,12,18,583.5854047314814,0.0,0.005888717748813433,0.07673798113589797,644.9409585833333,676.4773823333334
development,C1,13,18,555.5574100042735,0.0,0.004810226492218932,0.06935579638515393,634.317364253846,669.4000394615384
development,C1,14,18,499.88248557142856,0.0,0.002721689428927688,0.052169813387894046,549.5447663607142,554.4667901428571
development,C1,15,18,459.1176352222223,0.0,0.0031389279337355434,0.05602613616639598,490.4436994866667,502.6376658666667
development,C1,16,18,389.2823608784722,0.0,0.013203543067373955,0.11490667111779872,460.2665249125,471.866453875
development,C2,10,19,750.3242695105264,-4.7779384428704,0.003652482603423097,0.06043577254758226,823.50996251,826.1473685000001
development,C2,11,19,657.193038368421,-4.282258259567939,0.004792089196891631,0.06922491745673395,720.5928568727272,747.4035988181819
development,C2,12,18,616.2937446898147,-5.604722066924039,0.005252450853692818,0.07247379425483959,684.0126579166667,692.7201032500001
development,C2,13,18,582.5806201153846,-4.864161583391224,0.004308823894760699,0.06564163232858165,661.5227721,679.5858397692307
