path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/enter,discovery,,,"{'accepted': True, 'virtual_time_s': 0}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,
/measure,discovery,"[0.0, 0.0]",1.0,"{'accepted': True, 'virtual_time_s': 5.0, 'measure_result': 'direction', 'svd_deg': 291.89}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,0.0,5.0,0.0,5.0,1.0
/measure,discovery,"[0.0, 0.0]",2.0,"{'accepted': True, 'virtual_time_s': 11.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",3.0,"{'accepted': True, 'virtual_time_s': 17.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",4.0,"{'accepted': True, 'virtual_time_s': 23.0, 'measure_result': 'direction', 'svd_deg': 96.88}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",5.0,"{'accepted': True, 'virtual_time_s': 29.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",6.0,"{'accepted': True, 'virtual_time_s': 35.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",7.0,"{'accepted': True, 'virtual_time_s': 41.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",8.0,"{'accepted': True, 'virtual_time_s': 47.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",9.0,"{'accepted': True, 'virtual_time_s': 53.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",10.0,"{'accepted': True, 'virtual_time_s': 59.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",11.0,"{'accepted': True, 'virtual_time_s': 65.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",12.0,"{'accepted': True, 'virtual_time_s': 71.0, 'measure_result': 'no_signal'}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",13.0,"{'accepted': True, 'virtual_time_s': 77.0, 'measure_result': 'direction', 'svd_deg': 3.7}",ebc4ed29c05ff0d152a7caeb222ee0d6e3b717e9ecb8911e69ae6d539e4528d4,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",14.0,"{'accepted': True, 'virtual_time_s': 83.0, 'measure_result': 'direction', 'svd_deg': 29.82}",bb22a214ec46cbf355face61fe20e249dd8329533a337743056fec26eb53f581,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",15.0,"{'accepted': True, 'virtual_time_s': 89.0, 'measure_result': 'no_signal'}",357d05def799aa1ecc69d95049d57e1c5960dfd0bef362dfc2668d25e709a923,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",16.0,"{'accepted': True, 'virtual_time_s': 95.0, 'measure_result': 'no_signal'}",357d05def799aa1ecc69d95049d57e1c5960dfd0bef362dfc2668d25e709a923,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",17.0,"{'accepted': True, 'virtual_time_s': 101.0, 'measure_result': 'no_signal'}",357d05def799aa1ecc69d95049d57e1c5960dfd0bef362dfc2668d25e709a923,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",18.0,"{'accepted': True, 'virtual_time_s': 107.0, 'measure_result': 'no_signal'}",357d05def799aa1ecc69d95049d57e1c5960dfd0bef362dfc2668d25e709a923,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",19.0,"{'accepted': True, 'virtual_time_s': 113.0, 'measure_result': 'direction', 'svd_deg': 35.76}",357d05def799aa1ecc69d95049d57e1c5960dfd0bef362dfc2668d25e709a923,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",20.0,"{'accepted': True, 'virtual_time_s': 119.0, 'measure_result': 'direction', 'svd_deg': 209.78}",6813bc3c07adcc420c36c5bdb4a816b4e1682f00d28f88e4415fe96fce2df709,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",20.0,"{'accepted': True, 'virtual_time_s': 318.0, 'measure_result': 'direction', 'svd_deg': 107.6}",70715267ec1b7df54228d6beeba7247a868d724f4bdeebce89853356da320c02,969.9999999999999,194.0,0.0,5.0,0.0,199.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",1.0,"{'accepted': True, 'virtual_time_s': 324.0, 'measure_result': 'direction', 'svd_deg': 345.36}",3e9dd1c3eb5923501d9891973f613da7182bc47f4b5ff3b8d6bce262fc3248c3,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 330.0, 'measure_result': 'direction', 'svd_deg': 317.03}",3e9dd1c3eb5923501d9891973f613da7182bc47f4b5ff3b8d6bce262fc3248c3,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 336.0, 'measure_result': 'no_signal'}",55302dfd4be77f44d5f02ae9f1bff42d927a94894f7f8cd9b8ccf86bf6d55236,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 342.0, 'measure_result': 'direction', 'svd_deg': 59.97}",55302dfd4be77f44d5f02ae9f1bff42d927a94894f7f8cd9b8ccf86bf6d55236,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",5.0,"{'accepted': True, 'virtual_time_s': 348.0, 'measure_result': 'direction', 'svd_deg': 332.4}",33a5023e76615281438668c63649e63543483237f7c2397e45d8efc6f9be3321,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",6.0,"{'accepted': True, 'virtual_time_s': 354.0, 'measure_result': 'direction', 'svd_deg': 277.74}",d7bf3ab93b6f32c462056f2b90bb0c3c26274b73cf67f599c1d71db3d4c5ecc2,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",7.0,"{'accepted': True, 'virtual_time_s': 360.0, 'measure_result': 'no_signal'}",f45f34dff6e99937c045aff4b3ba54fd74e62955e94ddd4bf3f5dafa5ba52c8e,0.0,0.0,1.0,5.0,0.0,6.0,1.0
