path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/enter,discovery,,,"{'accepted': True, 'virtual_time_s': 0}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,
/measure,discovery,"[0.0, 0.0]",1.0,"{'accepted': True, 'virtual_time_s': 5.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,0.0,5.0,0.0,5.0,1.0
/measure,discovery,"[0.0, 0.0]",2.0,"{'accepted': True, 'virtual_time_s': 11.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",3.0,"{'accepted': True, 'virtual_time_s': 17.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",4.0,"{'accepted': True, 'virtual_time_s': 23.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",5.0,"{'accepted': True, 'virtual_time_s': 29.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",6.0,"{'accepted': True, 'virtual_time_s': 35.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",7.0,"{'accepted': True, 'virtual_time_s': 41.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",8.0,"{'accepted': True, 'virtual_time_s': 47.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",9.0,"{'accepted': True, 'virtual_time_s': 53.0, 'measure_result': 'direction', 'svd_deg': 2.64}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",10.0,"{'accepted': True, 'virtual_time_s': 59.0, 'measure_result': 'no_signal'}",c0c19b42458c44acb878837e8e9aec3447d3fad099a679a35aed64e7c57377c8,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",11.0,"{'accepted': True, 'virtual_time_s': 65.0, 'measure_result': 'no_signal'}",c0c19b42458c44acb878837e8e9aec3447d3fad099a679a35aed64e7c57377c8,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",12.0,"{'accepted': True, 'virtual_time_s': 71.0, 'measure_result': 'no_signal'}",c0c19b42458c44acb878837e8e9aec3447d3fad099a679a35aed64e7c57377c8,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",13.0,"{'accepted': True, 'virtual_time_s': 77.0, 'measure_result': 'direction', 'svd_deg': 286.0}",c0c19b42458c44acb878837e8e9aec3447d3fad099a679a35aed64e7c57377c8,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",14.0,"{'accepted': True, 'virtual_time_s': 83.0, 'measure_result': 'no_signal'}",208a27fa61449bc8c79282a9e0b8551e151fa1a8a50e19df7df602210bb4d52f,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",15.0,"{'accepted': True, 'virtual_time_s': 89.0, 'measure_result': 'direction', 'svd_deg': 176.2}",208a27fa61449bc8c79282a9e0b8551e151fa1a8a50e19df7df602210bb4d52f,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",16.0,"{'accepted': True, 'virtual_time_s': 95.0, 'measure_result': 'no_signal'}",71f9559ff88628c0b510013b6e50b47e027f444f6954201be44273b0d5f9a5f5,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",17.0,"{'accepted': True, 'virtual_time_s': 101.0, 'measure_result': 'no_signal'}",71f9559ff88628c0b510013b6e50b47e027f444f6954201be44273b0d5f9a5f5,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",18.0,"{'accepted': True, 'virtual_time_s': 107.0, 'measure_result': 'direction', 'svd_deg': 238.93}",71f9559ff88628c0b510013b6e50b47e027f444f6954201be44273b0d5f9a5f5,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",19.0,"{'accepted': True, 'virtual_time_s': 113.0, 'measure_result': 'direction', 'svd_deg': 113.97}",4b2dccc555903de27484ea748891dda209bfca9cac6e6f51abf99e9ec3883761,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",20.0,"{'accepted': True, 'virtual_time_s': 119.0, 'measure_result': 'direction', 'svd_deg': 160.24}",c7d9f5011984699c46dd52ae85b576204c3d43f92032270fc9ce0d2c42a84921,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",20.0,"{'accepted': True, 'virtual_time_s': 318.0, 'measure_result': 'direction', 'svd_deg': 103.04}",1c475307f68ea116a3a1cfc91b1cecc1ed732e532be25644e264286c6dc6c213,969.9999999999999,194.0,0.0,5.0,0.0,199.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",1.0,"{'accepted': True, 'virtual_time_s': 324.0, 'measure_result': 'no_signal'}",1c475307f68ea116a3a1cfc91b1cecc1ed732e532be25644e264286c6dc6c213,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 330.0, 'measure_result': 'no_signal'}",1c475307f68ea116a3a1cfc91b1cecc1ed732e532be25644e264286c6dc6c213,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 336.0, 'measure_result': 'direction', 'svd_deg': 167.09}",1c475307f68ea116a3a1cfc91b1cecc1ed732e532be25644e264286c6dc6c213,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 342.0, 'measure_result': 'no_signal'}",02b652e62d39a1b76bf2ba639b75cf68576b1311948cda49b309c41a9a49039c,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",5.0,"{'accepted': True, 'virtual_time_s': 348.0, 'measure_result': 'direction', 'svd_deg': 95.73}",02b652e62d39a1b76bf2ba639b75cf68576b1311948cda49b309c41a9a49039c,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",6.0,"{'accepted': True, 'virtual_time_s': 354.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",7.0,"{'accepted': True, 'virtual_time_s': 360.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",8.0,"{'accepted': True, 'virtual_time_s': 366.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",9.0,"{'accepted': True, 'virtual_time_s': 372.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",10.0,"{'accepted': True, 'virtual_time_s': 378.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
