path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/enter,discovery,,,"{'accepted': True, 'virtual_time_s': 0}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,
/measure,discovery,"[0.0, 0.0]",1.0,"{'accepted': True, 'virtual_time_s': 5.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,0.0,5.0,0.0,5.0,1.0
/measure,discovery,"[0.0, 0.0]",2.0,"{'accepted': True, 'virtual_time_s': 11.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",3.0,"{'accepted': True, 'virtual_time_s': 17.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",4.0,"{'accepted': True, 'virtual_time_s': 23.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",5.0,"{'accepted': True, 'virtual_time_s': 29.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",6.0,"{'accepted': True, 'virtual_time_s': 35.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",7.0,"{'accepted': True, 'virtual_time_s': 41.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",8.0,"{'accepted': True, 'virtual_time_s': 47.0, 'measure_result': 'no_signal'}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",9.0,"{'accepted': True, 'virtual_time_s': 53.0, 'measure_result': 'direction', 'svd_deg': 42.57}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",10.0,"{'accepted': True, 'virtual_time_s': 59.0, 'measure_result': 'no_signal'}",c0c19b42458c44acb878837e8e9aec3447d3fad099a679a35aed64e7c57377c8,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",11.0,"{'accepted': True, 'virtual_time_s': 65.0, 'measure_result': 'no_signal'}",c0c19b42458c44acb878837e8e9aec3447d3fad099a679a35aed64e7c57377c8,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",12.0,"{'accepted': True, 'virtual_time_s': 71.0, 'measure_result': 'direction', 'svd_deg': 18.6}",c0c19b42458c44acb878837e8e9aec3447d3fad099a679a35aed64e7c57377c8,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",13.0,"{'accepted': True, 'virtual_time_s': 77.0, 'measure_result': 'no_signal'}",ba582aca5747570b7632db470dfe6e4eada232da9aac8f40ff33ffcf9d4a1462,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",14.0,"{'accepted': True, 'virtual_time_s': 83.0, 'measure_result': 'direction', 'svd_deg': 102.85}",ba582aca5747570b7632db470dfe6e4eada232da9aac8f40ff33ffcf9d4a1462,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",15.0,"{'accepted': True, 'virtual_time_s': 89.0, 'measure_result': 'direction', 'svd_deg': 281.97}",04ffcaa7a59e72d0ee61495bb7e9eebcc49bcca6b89cef75fc0de9753b2e3700,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",16.0,"{'accepted': True, 'virtual_time_s': 95.0, 'measure_result': 'direction', 'svd_deg': 78.48}",3bac1963d58ae8744e6241b0ae96ba49068ade77dd093f23fca7a435cef72202,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",17.0,"{'accepted': True, 'virtual_time_s': 101.0, 'measure_result': 'no_signal'}",861fba87c57d9545c28e8b66bbd67fadd9695d9bc4977c54161c68d3fb0c31ca,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",18.0,"{'accepted': True, 'virtual_time_s': 107.0, 'measure_result': 'no_signal'}",861fba87c57d9545c28e8b66bbd67fadd9695d9bc4977c54161c68d3fb0c31ca,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",19.0,"{'accepted': True, 'virtual_time_s': 113.0, 'measure_result': 'no_signal'}",861fba87c57d9545c28e8b66bbd67fadd9695d9bc4977c54161c68d3fb0c31ca,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",20.0,"{'accepted': True, 'virtual_time_s': 119.0, 'measure_result': 'no_signal'}",861fba87c57d9545c28e8b66bbd67fadd9695d9bc4977c54161c68d3fb0c31ca,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",20.0,"{'accepted': True, 'virtual_time_s': 318.0, 'measure_result': 'direction', 'svd_deg': 190.05}",861fba87c57d9545c28e8b66bbd67fadd9695d9bc4977c54161c68d3fb0c31ca,969.9999999999999,194.0,0.0,5.0,0.0,199.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",1.0,"{'accepted': True, 'virtual_time_s': 324.0, 'measure_result': 'no_signal'}",2eaa9410d14145f1db461545cabe6b4483d242e2759949d5a7dc2acee32ea772,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 330.0, 'measure_result': 'no_signal'}",2eaa9410d14145f1db461545cabe6b4483d242e2759949d5a7dc2acee32ea772,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 336.0, 'measure_result': 'direction', 'svd_deg': 167.35}",2eaa9410d14145f1db461545cabe6b4483d242e2759949d5a7dc2acee32ea772,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 342.0, 'measure_result': 'no_signal'}",d47c3540f0b2bd6b6e8fd9d4d1a479e0ae7e8cdb83d66abc4ecec3171a749380,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",5.0,"{'accepted': True, 'virtual_time_s': 348.0, 'measure_result': 'no_signal'}",d47c3540f0b2bd6b6e8fd9d4d1a479e0ae7e8cdb83d66abc4ecec3171a749380,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",6.0,"{'accepted': True, 'virtual_time_s': 354.0, 'measure_result': 'direction', 'svd_deg': 286.72}",d47c3540f0b2bd6b6e8fd9d4d1a479e0ae7e8cdb83d66abc4ecec3171a749380,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",7.0,"{'accepted': True, 'virtual_time_s': 360.0, 'measure_result': 'no_signal'}",bf534a21d8fee7687975302aa021a17f5b6eff574facb4d36d0003ee224271ce,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",8.0,"{'accepted': True, 'virtual_time_s': 366.0, 'measure_result': 'no_signal'}",bf534a21d8fee7687975302aa021a17f5b6eff574facb4d36d0003ee224271ce,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",9.0,"{'accepted': True, 'virtual_time_s': 372.0, 'measure_result': 'no_signal'}",bf534a21d8fee7687975302aa021a17f5b6eff574facb4d36d0003ee224271ce,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",10.0,"{'accepted': True, 'virtual_time_s': 378.0, 'measure_result': 'no_signal'}",bf534a21d8fee7687975302aa021a17f5b6eff574facb4d36d0003ee224271ce,0.0,0.0,1.0,5.0,0.0,6.0,1.0
