path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/enter,discovery,,,"{'accepted': True, 'virtual_time_s': 0}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,
/measure,discovery,"[0.0, 0.0]",1.0,"{'accepted': True, 'virtual_time_s': 5.0, 'measure_result': 'direction', 'svd_deg': 307.32}",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,0.0,0.0,0.0,5.0,0.0,5.0,1.0
/measure,discovery,"[0.0, 0.0]",2.0,"{'accepted': True, 'virtual_time_s': 11.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",3.0,"{'accepted': True, 'virtual_time_s': 17.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",4.0,"{'accepted': True, 'virtual_time_s': 23.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",5.0,"{'accepted': True, 'virtual_time_s': 29.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",6.0,"{'accepted': True, 'virtual_time_s': 35.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",7.0,"{'accepted': True, 'virtual_time_s': 41.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",8.0,"{'accepted': True, 'virtual_time_s': 47.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",9.0,"{'accepted': True, 'virtual_time_s': 53.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",10.0,"{'accepted': True, 'virtual_time_s': 59.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",11.0,"{'accepted': True, 'virtual_time_s': 65.0, 'measure_result': 'no_signal'}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",12.0,"{'accepted': True, 'virtual_time_s': 71.0, 'measure_result': 'direction', 'svd_deg': 137.34}",b6fa9de94b5dd19011b849c2aff188e5cb32119eecc871eee544c82c13810887,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",13.0,"{'accepted': True, 'virtual_time_s': 77.0, 'measure_result': 'no_signal'}",0e48de6e280f47a565d88725c49d0cb2de852df622897f6915c2a97d8bd099a6,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",14.0,"{'accepted': True, 'virtual_time_s': 83.0, 'measure_result': 'no_signal'}",0e48de6e280f47a565d88725c49d0cb2de852df622897f6915c2a97d8bd099a6,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",15.0,"{'accepted': True, 'virtual_time_s': 89.0, 'measure_result': 'direction', 'svd_deg': 93.1}",0e48de6e280f47a565d88725c49d0cb2de852df622897f6915c2a97d8bd099a6,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",16.0,"{'accepted': True, 'virtual_time_s': 95.0, 'measure_result': 'no_signal'}",404847a020e8c06beaab2ddc480516cc177cd1ae9c5296fa057e13b02040f730,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",17.0,"{'accepted': True, 'virtual_time_s': 101.0, 'measure_result': 'no_signal'}",404847a020e8c06beaab2ddc480516cc177cd1ae9c5296fa057e13b02040f730,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",18.0,"{'accepted': True, 'virtual_time_s': 107.0, 'measure_result': 'no_signal'}",404847a020e8c06beaab2ddc480516cc177cd1ae9c5296fa057e13b02040f730,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",19.0,"{'accepted': True, 'virtual_time_s': 113.0, 'measure_result': 'no_signal'}",404847a020e8c06beaab2ddc480516cc177cd1ae9c5296fa057e13b02040f730,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[0.0, 0.0]",20.0,"{'accepted': True, 'virtual_time_s': 119.0, 'measure_result': 'direction', 'svd_deg': 202.73}",404847a020e8c06beaab2ddc480516cc177cd1ae9c5296fa057e13b02040f730,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",20.0,"{'accepted': True, 'virtual_time_s': 318.0, 'measure_result': 'direction', 'svd_deg': 74.92}",2864cd6997a7f4392d5b822c29599c7078632ff6dafee3c5d327fefb311d4d06,969.9999999999999,194.0,0.0,5.0,0.0,199.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",1.0,"{'accepted': True, 'virtual_time_s': 324.0, 'measure_result': 'direction', 'svd_deg': 358.26}",1438b7e8f4b5bbf423bd002c9713bedd337ae12c93929376564d05d2340e729b,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 330.0, 'measure_result': 'no_signal'}",1438b7e8f4b5bbf423bd002c9713bedd337ae12c93929376564d05d2340e729b,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 336.0, 'measure_result': 'direction', 'svd_deg': 322.67}",1438b7e8f4b5bbf423bd002c9713bedd337ae12c93929376564d05d2340e729b,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 342.0, 'measure_result': 'no_signal'}",ca0dc8ea60fcaa8e4adaeeb3698af1feaba30603723deb1155b12887ae950c54,0.0,0.0,1.0,5.0,0.0,6.0,1.0
