cohort,method,id,time_s,channel,current_channel,nodes,credit_s,action
regression,A1,0,432.0,19,19,23,137,local
regression,A1,0,999.676005,2,2,22,131,local
regression,A1,0,1198.15708,13,20,21,126,local
regression,A1,0,1324.782151,13,17,21,126,local
regression,A1,0,1324.782151,17,17,21,125,local
regression,A1,0,1331.481004,13,17,21,126,explore
regression,A1,0,1511.589795,13,20,20,120,local
regression,A1,0,1601.477662,13,15,20,120,local
regression,A1,0,1601.477662,15,15,20,119,local
regression,A1,0,1611.577209,13,15,20,120,explore
regression,A1,0,1822.483318,13,20,19,114,explore
regression,A1,0,1955.465461,13,18,18,108,explore
regression,A1,0,2248.14865,13,20,17,102,explore
regression,A1,0,2537.14865,13,18,16,96,explore
regression,A1,0,2670.130793,13,20,15,90,local
regression,A1,0,2706.388893,13,11,15,90,local
regression,A1,0,2706.388893,11,11,15,89,local
regression,A1,0,2761.457422,13,11,15,90,local
regression,A1,0,3008.489034,13,1,15,90,explore
regression,A1,0,3197.184383,13,20,14,84,explore
regression,A1,0,3474.184383,13,18,13,78,local
regression,A1,0,3881.919239,13,9,13,78,explore
regression,A1,0,4068.487164,13,20,12,72,local
regression,A1,0,4157.257632,13,10,12,72,local
regression,A1,0,4165.812815,10,10,12,71,local
regression,A1,0,4165.812815,13,10,12,72,local
regression,A1,0,4176.677678,13,10,12,72,local
regression,A1,0,4280.707398,13,12,12,72,local
regression,A1,0,4280.707398,12,12,12,71,local
regression,A1,0,4291.822106,13,12,12,72,local
regression,A1,0,4343.535298,13,18,12,72,local
regression,A1,0,4343.535298,18,18,12,71,local
regression,A1,0,4429.212391,13,18,12,72,local
regression,A1,0,4681.925846,6,6,12,71,local
regression,A1,0,4681.925846,13,6,12,72,local
regression,A1,0,4693.691998,13,6,12,72,local
regression,A1,0,5026.896458,7,7,12,71,local
regression,A1,0,6457.91995,5,5,4,23,local
regression,A1,0,7069.074417,8,8,1,5,local
regression,A1,1,432.0,1,19,23,138,local
regression,A1,1,432.0,17,19,23,138,local
regression,A1,1,578.543751,1,19,23,138,local
regression,A1,1,990.350071,19,19,22,131,local
regression,A1,1,1320.633745,11,11,21,125,local
regression,A1,1,1401.305497,10,10,21,125,local
regression,A1,1,1837.865553,3,3,20,119,local
regression,A1,1,2626.783067,2,2,17,101,local
