cohort,method,kind,rank,id,delta_s
regression,A1,best,1,310,-170.17994349999998
regression,A1,best,2,7,-145.48743590000004
regression,A1,best,3,347,-128.6305771428572
regression,A1,best,4,426,-119.03406318749995
regression,A1,best,5,448,-115.20693612500003
regression,A1,best,6,65,-104.48804072727285
regression,A1,best,7,96,-103.16459474999999
regression,A1,best,8,452,-102.89053480000007
regression,A1,best,9,49,-98.98815530000002
regression,A1,best,10,469,-96.9150566363636
regression,A1,worst,1,331,190.4145630625
regression,A1,worst,2,215,151.38249993749997
regression,A1,worst,3,465,116.4863499090909
regression,A1,worst,4,134,103.51770871428573
regression,A1,worst,5,397,99.81149236363638
regression,A1,worst,6,418,95.63293626666672
regression,A1,worst,7,429,92.56222963636355
regression,A1,worst,8,41,92.27797449999991
regression,A1,worst,9,33,88.80198190909084
regression,A1,worst,10,124,83.51897199999996
regression,D,best,1,369,-16.411289374999967
regression,D,best,2,259,-14.54077612499998
regression,D,best,3,9,-3.6724955624999893
regression,D,best,4,472,-0.25383937500004095
regression,D,best,5,238,-0.20203000000003613
regression,D,best,6,319,-0.09721143749999328
regression,D,best,7,0,0.0
regression,D,best,8,1,0.0
regression,D,best,9,2,0.0
regression,D,best,10,3,0.0
regression,D,worst,1,303,32.39900087500001
regression,D,worst,2,305,27.15673343750001
regression,D,worst,3,456,19.842497999999978
regression,D,worst,4,122,18.122049062500025
regression,D,worst,5,332,16.10638631249998
regression,D,worst,6,110,15.611047187499992
regression,D,worst,7,201,15.212449499999991
regression,D,worst,8,155,14.229954312500013
regression,D,worst,9,203,12.870623874999978
regression,D,worst,10,272,12.744619562499963
