cohort,method,id,kind,time_s,remaining_nodes,remaining_targets,nearest_node_m,accepted,index,point,estimated_cost,direct_cost,estimated_value_s,travel_m
regression,A1,8,release,4188.940119,11.0,2.0,189.91071665818893,,,,,,,
regression,A1,9,release,2663.983748,17.0,8.0,189.91071665818893,,,,,,,
regression,A1,11,release,6791.033417,3.0,1.0,969.9999999999999,,,,,,,
regression,A1,24,release,6741.288438,4.0,2.0,969.9999999999999,,,,,,,
regression,A1,30,release,2561.631827,16.0,8.0,189.91071665818913,,,,,,,
regression,A1,38,release,6614.191591,2.0,1.0,189.91071665818893,,,,,,,
regression,A1,44,release,3208.46039,13.0,10.0,969.9999999999999,,,,,,,
regression,A1,50,release,6390.126793,3.0,1.0,970.0,,,,,,,
regression,A1,78,release,6452.861164,3.0,1.0,189.91071665818893,,,,,,,
regression,A1,96,release,1873.020956,19.0,9.0,969.9999999999999,,,,,,,
regression,A1,103,release,4859.916912,9.0,3.0,969.9999999999999,,,,,,,
regression,A1,110,release,6292.889801,4.0,3.0,988.4159449855243,,,,,,,
regression,A1,122,release,4962.662377,7.0,2.0,970.0,,,,,,,
regression,A1,142,release,4797.69331,7.0,4.0,969.9999999999999,,,,,,,
regression,A1,155,release,4356.021534,9.0,4.0,969.9999999999999,,,,,,,
regression,A1,161,release,3233.964649,15.0,5.0,969.9999999999999,,,,,,,
regression,A1,191,release,5990.915699,6.0,2.0,189.91071665818893,,,,,,,
regression,A1,194,release,5653.103963,5.0,8.0,189.91071665818893,,,,,,,
regression,A1,201,release,5565.649684,6.0,1.0,969.9999999999999,,,,,,,
regression,A1,203,release,5402.390787,8.0,2.0,189.91071665818893,,,,,,,
regression,A1,215,release,5154.123881,7.0,4.0,189.91071665818893,,,,,,,
regression,A1,216,release,3260.986795,14.0,8.0,969.9999999999999,,,,,,,
regression,A1,217,release,1559.320758,21.0,9.0,969.9999999999999,,,,,,,
regression,A1,218,release,6241.248496,3.0,1.0,969.9999999999999,,,,,,,
regression,A1,235,release,7220.877936,3.0,1.0,969.9999999999999,,,,,,,
regression,A1,238,release,5018.720446,10.0,2.0,969.9999999999999,,,,,,,
regression,A1,246,release,5635.238863,5.0,3.0,969.9999999999999,,,,,,,
regression,A1,253,release,6748.664541,2.0,2.0,969.9999999999999,,,,,,,
regression,A1,257,release,6584.032047,5.0,2.0,189.91071665818893,,,,,,,
regression,A1,259,release,4634.565984,9.0,3.0,189.91071665818893,,,,,,,
regression,A1,261,release,6729.197443,2.0,5.0,189.91071665818893,,,,,,,
regression,A1,262,release,6543.297952,5.0,3.0,189.91071665818913,,,,,,,
regression,A1,272,release,6285.903002,2.0,1.0,189.91071665818893,,,,,,,
regression,A1,287,release,3333.386968,14.0,8.0,969.9999999999999,,,,,,,
regression,A1,288,release,6153.936581,4.0,2.0,970.0,,,,,,,
regression,A1,303,release,3997.962553,13.0,4.0,189.91071665818893,,,,,,,
regression,A1,305,release,4329.26513,11.0,7.0,969.9999999999999,,,,,,,
regression,A1,310,release,3823.235861,13.0,5.0,189.91071665818893,,,,,,,
regression,A1,314,release,5018.273329,9.0,1.0,969.9999999999999,,,,,,,
regression,A1,315,release,7080.422042,2.0,1.0,969.9999999999999,,,,,,,
regression,A1,319,release,3507.437119,17.0,4.0,969.9999999999999,,,,,,,
regression,A1,320,release,4601.19545,9.0,2.0,969.9999999999999,,,,,,,
regression,A1,332,release,4636.439035,10.0,4.0,969.9999999999999,,,,,,,
regression,A1,335,release,5766.003601,9.0,4.0,970.0,,,,,,,
regression,A1,358,release,6310.326272,4.0,3.0,969.9999999999999,,,,,,,
regression,A1,362,release,4219.947907,10.0,5.0,189.91071665818913,,,,,,,
regression,A1,369,release,3930.880382,11.0,6.0,189.91071665818913,,,,,,,
regression,A1,371,release,6183.306423,1.0,1.0,189.91071665818913,,,,,,,
regression,A1,378,release,6115.528394,2.0,1.0,189.91071665818893,,,,,,,
regression,A1,387,release,5992.186839,6.0,2.0,189.91071665818893,,,,,,,
regression,A1,404,release,4099.607732,10.0,4.0,969.9999999999999,,,,,,,
regression,A1,408,release,3176.444818,16.0,3.0,969.9999999999999,,,,,,,
regression,A1,426,release,4847.396663,8.0,3.0,969.9999999999999,,,,,,,
regression,A1,440,release,5627.796536,6.0,6.0,969.9999999999999,,,,,,,
regression,A1,446,release,8015.762936,2.0,2.0,189.91071665818893,,,,,,,
regression,A1,448,release,4124.857107,10.0,2.0,969.9999999999999,,,,,,,
regression,A1,456,release,5677.373465,6.0,4.0,969.9999999999999,,,,,,,
regression,A1,463,release,6026.919788,4.0,2.0,970.0,,,,,,,
regression,A1,472,release,5230.107224,6.0,6.0,189.91071665818893,,,,,,,
regression,A1,475,release,3908.729693,14.0,3.0,189.91071665818913,,,,,,,
regression,A1,482,release,5352.146579,6.0,2.0,969.9999999999999,,,,,,,
