cohort,method,id,index,time_s,kind,r12_m,planned_m,snapshot_saving_s,gap,route_ms,route_survival_nodes,executed_m,route_survival_time,fraction_of_planned_route_executed,end_reason
regression,A1,0,0,0.0,initial,18709.95996986228,18691.544024876755,3.683188997105026,0.0009852554160862887,595.2335000038147,1,0.0,119.0,0.0,after_discovery
regression,A1,0,1,119.0,after_discovery,19420.049253204088,18691.544024876755,145.70104566546652,0.038975123048034875,11.79499999852851,1,969.9999999999999,313.0,0.051895124271650196,after_discovery
regression,A1,0,2,432.0,after_discovery,17739.959969862277,17721.54402487675,3.683188997105026,0.001039183998847595,19.2036999942502,0,0.0,0.0,0.0,localization
regression,A1,0,3,532.028772,localize,17307.803197066423,17289.3872520809,3.683188997104298,0.0010651589161035768,11.713600004441105,0,0.0,0.0,0.0,localization
regression,A1,0,4,551.563358,localize,17239.556390075304,17239.556390075304,0.0,0.0,33.2745000050636,0,0.0,0.0,0.0,localization
regression,A1,0,5,606.563358,localize,17091.203902135392,17091.203902135392,0.0,0.0,9.325999999418855,1,339.659877258636,180.93197499999997,0.01987337341497626,after_discovery
regression,A1,0,6,787.495333,after_discovery,16769.95996986228,16751.544024876755,3.683188997105026,0.0010993580626464444,8.881200003088452,0,0.0,0.0,0.0,localization
regression,A1,0,7,822.786352,localize,16609.387596137087,16609.387596137087,0.0,0.0,16.49399999587331,0,0.0,0.0,0.0,localization
regression,A1,0,8,999.676005,localize,16181.397733402722,16181.397733402722,0.0,0.0,8.935400008340366,0,0.0,0.0,0.0,localization
regression,A1,0,9,1010.942941,localize,16177.614721464051,16177.614721464051,0.0,0.0,14.356300001963973,1,396.070696587297,187.21413899999993,0.024482638720639105,after_discovery
regression,A1,0,10,1198.15708,after_discovery,15781.544024876754,15781.544024876754,0.0,0.0,9.21839999500662,0,0.0,0.0,0.0,localization
regression,A1,0,11,1324.782151,localize,15212.049035946742,15193.633090961219,3.6831889971046623,0.0012120830399991076,10.336099992855452,0,0.0,0.0,0.0,localization
regression,A1,0,12,1331.481004,localize,15202.087980331364,15202.087980331364,0.0,0.0,7.416599997668527,1,390.5439554546074,180.1087910000001,0.025690152297493454,after_discovery
regression,A1,0,13,1511.589795,after_discovery,14811.544024876754,14811.544024876754,0.0,0.0,8.08879999385681,0,0.0,0.0,0.0,localization
regression,A1,0,14,1601.477662,localize,14420.11697357127,14420.11697357127,0.0,0.0,9.934700006851926,0,0.0,0.0,0.0,localization
regression,A1,0,15,1611.577209,localize,14434.49051705886,14434.49051705886,0.0,0.0,7.260700003826059,1,574.5305471965819,210.90610900000001,0.039802620433162815,after_discovery
regression,A1,0,16,1822.483318,after_discovery,13859.959969862279,13859.959969862279,0.0,0.0,8.396500008529983,1,189.91071665818913,132.98214299999995,0.013702111483087942,after_discovery
regression,A1,0,17,1955.465461,after_discovery,13670.04925320409,13670.04925320409,0.0,0.0,6.668999994872138,1,988.4159449855243,292.6831890000001,0.07230522192550637,after_discovery
regression,A1,0,18,2248.14865,after_discovery,12681.633308218565,12681.633308218565,0.0,0.0,7.145299998228438,1,969.9999999999999,289.0,0.07648857023577346,after_discovery
regression,A1,0,19,2537.14865,after_discovery,11711.633308218567,11711.633308218567,0.0,0.0,5.441599991172552,1,189.91071665818893,132.98214299999972,0.01621556205357969,after_discovery
regression,A1,0,20,2670.130793,after_discovery,11521.722591560376,11521.722591560376,0.0,0.0,4.204900003969669,0,0.0,0.0,0.0,localization
regression,A1,0,21,2706.388893,localize,11593.528930721117,11593.528930721117,0.0,0.0,3.756299993256107,0,0.0,0.0,0.0,localization
regression,A1,0,22,2761.457422,localize,11481.449890687485,11481.449890687485,0.0,0.0,5.909200001042336,0,0.0,0.0,0.0,localization
regression,A1,0,23,3008.489034,localize,11056.783392947616,11056.783392947616,0.0,0.0,6.412100003217347,1,523.476746372764,188.69534899999962,0.04734439735037722,after_discovery
regression,A1,0,24,3197.184383,after_discovery,10533.306646574852,10533.306646574852,0.0,0.0,4.517800000030547,1,970.0,277.0,0.09208884090689773,after_discovery
regression,A1,0,25,3474.184383,after_discovery,9563.30664657485,9563.30664657485,0.0,0.0,1.357000001007691,0,0.0,0.0,0.0,localization
regression,A1,0,26,3881.919239,localize,9171.16048990137,9136.146273320035,7.002843316266808,0.003832492993636148,3.0242000066209584,1,542.8396267451838,186.5679250000003,0.05941669611074629,after_discovery
regression,A1,0,27,4068.487164,after_discovery,8593.306646574852,8593.306646574852,0.0,0.0,3.7401000008685514,0,0.0,0.0,0.0,localization
regression,A1,0,28,4157.257632,localize,8931.222490002294,8931.222490002294,0.0,0.0,3.9086999895516783,0,0.0,0.0,0.0,localization
regression,A1,0,29,4165.812815,localize,8918.53239321392,8918.53239321392,0.0,0.0,4.478399991057813,0,0.0,0.0,0.0,localization
regression,A1,0,30,4176.677678,localize,8946.968054942712,8946.968054942712,0.0,0.0,6.088499998440966,0,0.0,0.0,0.0,localization
regression,A1,0,31,4280.707398,localize,9029.992131653347,9029.992131653347,0.0,0.0,5.764999994426034,0,0.0,0.0,0.0,localization
regression,A1,0,32,4291.822106,localize,9002.299574994917,9002.299574994917,0.0,0.0,4.5126000040909275,0,0.0,0.0,0.0,localization
regression,A1,0,33,4343.535298,localize,9162.431461037584,9162.431461037584,0.0,0.0,3.677500004414469,0,0.0,0.0,0.0,localization
regression,A1,0,34,4429.212391,localize,9485.522444129154,9485.522444129154,0.0,0.0,4.689599998528138,0,0.0,0.0,0.0,localization
regression,A1,0,35,4681.925846,localize,9458.183728470336,9458.183728470336,0.0,0.0,2.8485000075306743,0,0.0,0.0,0.0,localization
regression,A1,0,36,4693.691998,localize,9491.74619538665,9491.74619538665,0.0,0.0,3.9264999941224232,0,0.0,0.0,0.0,localization
regression,A1,0,37,4731.103202,localize,9405.964357591389,9405.964357591389,0.0,0.0,3.871599998092279,0,0.0,0.0,0.0,localization
regression,A1,0,38,5026.896458,localize,8188.022893777034,8188.022893777034,0.0,0.0,2.0475999917834997,0,0.0,0.0,0.0,localization
regression,A1,0,39,5043.213952,localize,8188.17924426815,8188.17924426815,0.0,0.0,2.077899989672005,1,564.872597693297,154.97451999999976,0.06898634981503568,after_discovery
regression,A1,0,40,5198.188472,after_discovery,7623.3066465748525,7623.3066465748525,0.0,0.0,1.763699998264201,1,189.91071665818893,78.98214300000018,0.024911855899633226,after_discovery
regression,A1,0,41,5277.170615,after_discovery,7433.3959299166645,7433.3959299166645,0.0,0.0,1.4919999957783148,1,988.4159449855241,238.6831890000003,0.13296963518484414,after_discovery
regression,A1,0,42,5515.853804,after_discovery,6444.979984931139,6444.979984931139,0.0,0.0,1.1239000014029443,1,970.0,235.0,0.15050473426883168,after_discovery
regression,A1,0,43,5750.853804,after_discovery,5474.97998493114,5474.97998493114,0.0,0.0,0.8587999909650534,1,189.91071665818913,78.98214299999927,0.03468701569336927,after_discovery
regression,A1,0,44,5829.835947,after_discovery,5285.0692682729505,5285.0692682729505,0.0,0.0,0.4609000025084242,1,988.4159449855243,238.6831890000003,0.1870204333780696,after_discovery
regression,A1,0,45,6068.519136,after_discovery,4296.653323287426,4296.653323287426,0.0,0.0,0.32140000257641077,1,969.9999999999999,235.0,0.2257571014032475,after_discovery
regression,A1,0,46,6303.519136,after_discovery,3326.6533232874262,3326.6533232874262,0.0,0.0,0.2641000028233975,1,189.91071665818893,78.98214300000018,0.057087618757495774,after_discovery
regression,A1,0,47,6382.501279,after_discovery,3136.7426066292373,3136.7426066292373,0.0,0.0,0.3015999973285943,0,0.0,0.0,0.0,localization
regression,A1,0,48,6457.91995,localize,2795.2010228867275,2795.2010228867275,0.0,0.0,0.228899996727705,0,0.0,0.0,0.0,localization
regression,A1,0,49,6469.156331,localize,2779.853065494053,2779.853065494053,0.0,0.0,0.22640000679530203,1,631.5264038503401,162.30528099999992,0.22717977856074245,after_discovery
regression,A1,0,50,6631.461612,after_discovery,2148.326661643713,2148.326661643713,0.0,0.0,0.17699999443721026,1,969.9999999999999,229.0,0.451514202806495,after_discovery
regression,A1,0,51,6860.461612,after_discovery,1178.3266616437131,1178.3266616437131,0.0,0.0,0.12289998994674534,1,189.91071665818893,72.98214300000018,0.1611698375671751,after_discovery
regression,A1,0,52,6933.443755,after_discovery,988.4159449855241,988.4159449855241,0.0,0.0,0.09620000491850078,0,0.0,0.0,0.0,localization
regression,A1,0,53,7069.074417,localize,386.46200477207526,386.46200477207526,0.0,0.0,0.1117999927373603,0,0.0,0.0,0.0,localization
regression,A1,0,54,7085.487151,localize,356.65052910972855,356.65052910972855,0.0,0.0,0.09209998825099319,1,356.65052910972855,101.33010599999943,1.0,exit
regression,A1,1,0,0.0,initial,18709.95996986228,18691.544024876755,3.683188997105026,0.0009852554160862887,603.0202999972971,1,0.0,119.0,0.0,after_discovery
regression,A1,1,1,119.0,after_discovery,19420.049253204088,18691.544024876755,145.70104566546652,0.038975123048034875,14.702099986607209,1,969.9999999999999,313.0,0.051895124271650196,after_discovery
