cohort,method,N,n,mean,improvement_pct,normalized_variance,CV,P95,max
regression,A1,10,66,701.5618520045455,2.70253738268027,0.003290478113915894,0.05736268921447017,761.158762425,807.3103666
regression,A1,11,67,639.2885491194029,0.7803737915893616,0.00483128798156273,0.0695074670921242,722.0519660545453,770.7862229090908
regression,A1,12,76,580.0748634967105,0.6867642455592016,0.002834076471326265,0.05323604485051708,644.3587856666666,671.9260990833333
regression,A1,13,86,546.6828805751342,0.28341364835507976,0.004047290634179479,0.06361831995722209,603.1409774615386,624.2514413846154
regression,A1,14,77,508.90315748515764,0.5300840691464193,0.00524747076922244,0.07243942827785459,567.5884753428571,614.5402892142857
regression,A1,15,79,471.26919776202527,1.2419383293250652,0.005297670062035171,0.07278509505410548,534.2748545999999,606.1140701333334
regression,A1,16,68,378.0496601167279,0.9833917583637497,0.031192000894949473,0.17661257286770238,478.46211898125,516.8203255
regression,D,10,66,721.0484560772727,0.0,0.0034854784988971165,0.05903794118104996,793.4549297,847.5218719000001
regression,D,11,67,644.3166272130259,0.0,0.00407881999325832,0.0638656401616575,720.1608418090909,760.016654909091
regression,D,12,76,584.0861583958333,0.0,0.002308891010648816,0.04805092101769555,629.2882002291667,652.3250698333333
regression,D,13,86,548.2366580894454,0.0,0.00478864769537016,0.06920005560236321,607.8702310576923,665.360514
regression,D,14,77,511.61514787940627,0.0,0.00503937764581404,0.07098857405113897,573.7837761000001,626.2477725714286
regression,D,15,79,477.1956737400844,0.0,0.004437480827518545,0.06661441906613423,544.0648575933333,585.4711347333334
regression,D,16,68,386.03722059283086,-1.1086644710333493,0.030427895030624322,0.17443593388583767,497.756176215625,541.2262989375
regression,R12,10,66,721.0484560772727,0.0,0.0034854784988971165,0.05903794118104996,793.4549297,847.5218719000001
regression,R12,11,67,644.3166272130259,0.0,0.00407881999325832,0.0638656401616575,720.1608418090909,760.016654909091
regression,R12,12,76,584.0861583958333,0.0,0.002308891010648816,0.04805092101769555,629.2882002291667,652.3250698333333
regression,R12,13,86,548.2366580894454,0.0,0.00478864769537016,0.06920005560236321,607.8702310576923,665.360514
regression,R12,14,77,511.61514787940627,0.0,0.00503937764581404,0.07098857405113897,573.7837761000001,626.2477725714286
regression,R12,15,79,477.1956737400844,0.0,0.004437480827518545,0.06661441906613423,544.0648575933333,585.4711347333334
regression,R12,16,68,381.80429205790443,0.0,0.031234594954593204,0.17673311787719131,494.48763914999995,541.2262989375
