seed,time_s,channel,nodes,scan_credit_s
0,432.0,13,23,138
0,527.833413,2,23,137
0,527.833413,13,23,138
0,546.425004,13,23,138
0,742.333757,13,23,138
0,742.333757,17,23,137
0,749.03261,13,23,138
0,791.614656,13,23,138
0,839.321116,13,23,138
0,839.321116,15,23,137
0,852.27753,13,23,138
0,1037.102107,13,22,132
0,1329.009485,6,22,131
0,2215.401644,18,20,119
0,2457.979338,12,19,113
0,3339.430185,5,15,89
0,4040.584652,8,12,71
0,5181.233067,11,6,35
0,6115.114425,7,3,17
0,6631.603168,10,1,5
0,6839.428213,9,1,5
1,432.0,1,23,138
1,506.4029,1,23,138
1,506.4029,10,23,137
1,517.800882,1,23,138
1,733.358565,17,23,137
1,1066.335958,19,22,131
1,1563.208683,3,20,120
1,2319.581565,2,18,107
1,2785.129517,6,16,95
1,2964.270967,12,15,89
1,3052.938037,18,15,89
1,4471.107956,15,9,53
1,4838.878271,20,8,47
1,4955.561796,5,7,42
1,5046.543939,5,6,36
1,5409.478174,7,5,29
1,6216.947318,11,2,11
2,543.861921,12,23,137
2,702.298274,10,23,137
2,825.413168,8,23,137
2,1026.095203,1,22,132
2,1165.077346,1,21,126
2,1889.605723,9,19,113
2,2998.581149,14,15,89
2,3036.129417,20,15,89
2,3338.716033,11,14,83
2,4068.646794,6,11,65
2,5652.136661,2,4,23
2,6046.705266,5,3,17
2,6165.008286,13,2,12
2,6165.008286,18,2,12
2,6251.880466,18,2,12
3,602.555698,8,23,137
3,1156.004837,13,21,125
3,1606.111718,18,20,119
3,2338.338171,14,17,101
3,2781.29127,15,16,95
3,3169.215882,1,15,89
3,3306.069186,7,15,89
3,3426.471462,12,15,89
3,3516.630308,2,14,84
4,450.300816,8,23,137
4,607.646228,18,23,137
4,757.656319,4,23,137
4,1335.206426,17,21,125
4,2742.92722,14,16,95
4,2867.148999,11,15,90
4,3293.178671,3,14,83
4,3446.687329,16,13,78
4,3446.687329,1,13,78
4,3446.687329,15,13,78
4,3596.182964,16,13,78
4,3596.182964,1,13,78
4,3639.263831,16,13,78
4,3810.303697,16,12,72
4,3913.28584,16,11,66
4,4175.969029,16,10,60
4,4693.262733,10,9,54
5,499.421092,5,23,137
5,1083.69011,10,21,125
5,1395.684701,18,20,119
