seed,index,remaining,r12_m,reference_m,gap,saving_s,reference_kind,reference_wall_s,r12_wall_s
0,0,23,17849.518972609796,17350.31759799168,0.028771886842918527,99.84027492362293,multistart_2opt_relocate,0.01762379999854602,0.013762400005361997
0,1,23,17421.510241823373,17403.094296837848,0.0010581994599012958,3.683188997105026,multistart_2opt_relocate,0.003328000006149523,0.0031152999872574583
0,2,23,18339.459358713793,17133.633090961215,0.07037773374455575,241.16525355051562,multistart_2opt_relocate,0.0037614000029861927,0.002718899995670654
0,3,23,18331.550637781693,17142.087980331362,0.06938843499199787,237.89253149006618,multistart_2opt_relocate,0.004109400004381314,0.0047082999954000115
0,4,23,18403.54572348136,16964.95121181221,0.08479803411798173,287.7189023338295,multistart_2opt_relocate,0.0038721000018995255,0.005892400004086085
0,5,23,17147.554525686748,17129.138580701223,0.001075123824748181,3.683188997105026,multistart_2opt_relocate,0.0035617999965325,0.0072552000056020916
0,6,23,17184.082856137786,17165.66691115226,0.0010728359743227094,3.683188997105026,multistart_2opt_relocate,0.0026855999894905835,0.0029726000066148117
0,7,22,17114.15511878967,16385.649890462337,0.04445995326382365,145.70104566546652,multistart_2opt_relocate,0.0021889999916311353,0.0026811999996425584
0,8,22,17034.921754693216,16484.03362718012,0.03341949791977791,110.17762550261905,multistart_2opt_relocate,0.0020514000061666593,0.006758400006219745
0,9,22,17062.833884015097,16485.83853593372,0.03499945403588163,115.39906961627567,multistart_2opt_relocate,0.0022372999956132844,0.005072100000688806
0,10,22,17062.64787293569,16334.142644608353,0.04460015099524091,145.70104566546723,multistart_2opt_relocate,0.002902599997469224,0.002918900005170144
0,11,21,15288.59407131877,15288.59407131877,0.0,0.0,multistart_2opt_relocate,0.0027728999993996695,0.0047959000075934455
0,12,20,14609.963425667855,14591.547480682331,0.0012620967727997375,3.6831889971046623,multistart_2opt_relocate,0.002429700005450286,0.004149700005655177
0,13,20,14285.858031469517,14285.858031469517,0.0,0.0,multistart_2opt_relocate,0.002280599990626797,0.0026879000070039183
0,14,20,14281.599329408105,14281.599329408105,0.0,0.0,multistart_2opt_relocate,0.0022926000092411414,0.0021358000085456297
0,15,19,14096.101545393414,14077.68560040789,0.0013081656678701307,3.6831889971046623,multistart_2opt_relocate,0.005448700001579709,0.005220599996391684
0,16,19,14075.722843176502,14057.306898190978,0.001310062099298212,3.6831889971046623,multistart_2opt_relocate,0.0019752000080188736,0.00519150000764057
0,17,15,11180.181007817866,11161.765062832343,0.0016499133319735177,3.6831889971046623,exact_dp_fp64,0.02407159999711439,0.0012358000094536692
0,18,15,11164.833050425192,11146.417105439668,0.0016521851650909394,3.6831889971046623,exact_dp_fp64,0.01134759999695234,0.001251499998033978
0,19,12,8771.441989703215,8753.02604471769,0.0021039518095160767,3.683188997105026,exact_dp_fp64,0.0011722000053850934,0.0007247000030474737
0,20,12,8741.630514040868,8723.214569055343,0.0021111420382634743,3.683188997105026,exact_dp_fp64,0.0009750000026542693,0.0007508999988203868
0,21,6,5148.5489457899785,5130.133000804454,0.003589759755280501,3.683188997104844,exact_dp_fp64,6.50000583846122e-06,0.00022470000840257853
0,22,6,5036.469905756344,5036.469905756344,0.0,0.0,exact_dp_fp64,3.2999960239976645e-06,0.0006011999939801171
