id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,known16_enabled_from_config
0,development,native_unconditioned,R12,FULL_CLEAR,,10,10,6849.729135,684.9729135,684.9729135,23553.645680610887,352,329,10,0,2.4834422999992967,coverage_exhausted,user_exit,0,3,6,0909694451faca9f23a2f18895b5d3b87a4692faebea40e384b313ed8080f26f,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5355.602327999999,810.2383080000003,168.32047600000078,0.0,515.568022999999,29.0,2118.470961,211.8470961,6849.729135,3737.6247019999996,1996.2888599999997,203,90,25,339,3339.6023279999995,1695.0,321.0,59.0,295.0,58.0,30.0,150.0,30.0,250.0,1250.0,233.0,True,False,True,,,,,92,True
1,development,native_unconditioned,R12,FULL_CLEAR,,12,12,7662.275018,638.5229181666667,638.5229181666667,27196.37509435353,365,338,12,0,2.589675299997907,coverage_exhausted,user_exit,0,2,8,4dd9a4a988be4e6876f501653aee6945027443bd3ab9510c282d6ebfa3fbc7ae,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5478.528959,1378.394566999999,165.48943499999996,0.0,639.8620570000013,11.0,7156.270098,596.3558415,7451.270098,295.0,0.0,17,0,25,348,3409.528959,1740.0,329.0,42.0,210.0,37.0,106.0,530.0,96.0,200.0,1000.0,196.0,True,False,True,,,,,83,True
0,development,native_unconditioned,B20,FULL_CLEAR,,10,10,7119.001425,711.9001425,711.9001425,25200.007132742205,342,319,10,0,4.264972300006775,coverage_exhausted,user_exit,0,3,6,0909694451faca9f23a2f18895b5d3b87a4692faebea40e384b313ed8080f26f,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,311ff6e9fed6297eced9c9daf6f639d648122c47783d057efac191fd36809056,0,core,5672.117525000001,790.5335350000004,168.32047599999987,0.0,488.02988899999957,29.0,1975.805629,197.5805629,7119.001425,4196.805231,2688.1823460000005,210,110,25,329,3716.1175250000006,1645.0,311.0,50.0,250.0,49.0,29.0,145.0,29.0,250.0,1250.0,233.0,True,False,False,,,,,83,True
0,development,native_unconditioned,B5,FULL_CLEAR,,10,10,7054.440363,705.4440363,705.4440363,24462.201820133236,356,332,10,0,4.325098900008015,coverage_exhausted,user_exit,0,4,6,0909694451faca9f23a2f18895b5d3b87a4692faebea40e384b313ed8080f26f,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9966523b1b3691c7156983fa1992fd8ea2e92376dc259da99d4d71096bdc82a6,0,core,5530.491138,810.2383080000003,286.99518400000034,0.0,426.7157329999992,29.0,2118.470961,211.8470961,7054.440363,3912.513512,2052.5123379999995,206,80,25,342,3496.491138,1710.0,324.0,62.0,310.0,61.0,30.0,150.0,30.0,250.0,1250.0,233.0,True,False,False,,,,,96,True
0,development,native_unconditioned,B0,FULL_CLEAR,,10,10,7054.440363,705.4440363,705.4440363,24462.201820133236,356,332,10,0,4.396092999988468,coverage_exhausted,user_exit,0,4,6,0909694451faca9f23a2f18895b5d3b87a4692faebea40e384b313ed8080f26f,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,db4f254ad6fd9043e87e7f9e49963251cc86825d0c856ee4bcff015984699234,0,core,5530.491138,810.2383080000003,286.99518400000034,0.0,426.7157329999992,29.0,2118.470961,211.8470961,7054.440363,3912.513512,2052.5123379999995,206,80,25,342,3496.491138,1710.0,324.0,62.0,310.0,61.0,30.0,150.0,30.0,250.0,1250.0,233.0,True,False,False,,,,,96,True
0,development,native_unconditioned,B10,FULL_CLEAR,,10,10,7062.807006,706.2807006,706.2807006,24504.035038891823,356,332,10,0,4.405092000000877,coverage_exhausted,user_exit,0,4,6,0909694451faca9f23a2f18895b5d3b87a4692faebea40e384b313ed8080f26f,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,a0868ebb5f0363a0e5d025a273288729cb52ceff1d7ac8db67d31ab8860c18aa,0,core,5538.857781,810.2383080000003,286.99518400000034,0.0,426.7157329999992,29.0,2118.470961,211.8470961,7062.807006,3920.8801550000003,2060.878981,206,80,25,342,3504.857781,1710.0,324.0,62.0,310.0,61.0,30.0,150.0,30.0,250.0,1250.0,233.0,True,False,False,,,,,96,True
1,development,native_unconditioned,B0,FULL_CLEAR,,12,12,7705.477324,642.1231103333333,642.1231103333333,27492.386627423602,362,337,12,0,4.482399300002726,coverage_exhausted,user_exit,0,2,8,4dd9a4a988be4e6876f501653aee6945027443bd3ab9510c282d6ebfa3fbc7ae,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,db4f254ad6fd9043e87e7f9e49963251cc86825d0c856ee4bcff015984699234,0,core,5500.149729,1185.5902960000008,165.48943499999996,0.0,854.247864,11.0,7246.472404,603.8727003333333,7493.472404,247.0,0.0,9,0,25,348,3432.1497289999998,1740.0,328.0,40.0,200.0,35.0,108.0,540.0,97.0,200.0,1000.0,196.0,True,False,False,,,,,78,True
1,development,native_unconditioned,B5,FULL_CLEAR,,12,12,7705.477324,642.1231103333333,642.1231103333333,27492.386627423602,362,337,12,0,4.47046730000875,coverage_exhausted,user_exit,0,2,8,4dd9a4a988be4e6876f501653aee6945027443bd3ab9510c282d6ebfa3fbc7ae,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9966523b1b3691c7156983fa1992fd8ea2e92376dc259da99d4d71096bdc82a6,0,core,5500.149729,1185.5902960000008,165.48943499999996,0.0,854.247864,11.0,7246.472404,603.8727003333333,7493.472404,247.0,0.0,9,0,25,348,3432.1497289999998,1740.0,328.0,40.0,200.0,35.0,108.0,540.0,97.0,200.0,1000.0,196.0,True,False,False,,,,,78,True
2,development,native_unconditioned,R12,FULL_CLEAR,,10,10,6903.189982,690.3189982,690.3189982,23690.949919436545,356,335,10,0,0.8313755999988643,coverage_exhausted,user_exit,0,0,2,0b0a290d6ba1af2ae0b2e87c519a1bf023a931328ef24488fbb6f8d4bee3e7a4,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5564.067803999999,733.3282970000005,0.0,0.0,605.7938809999995,47.0,3903.84651,390.38465099999996,6903.189982,2363.1817440000004,1548.8512730000002,123,70,25,349,3489.067804,1745.0,330.0,71.0,355.0,67.0,28.0,140.0,26.0,250.0,1250.0,237.0,True,False,True,,,,,98,True
1,development,native_unconditioned,B10,FULL_CLEAR,,12,12,7705.477324,642.1231103333333,642.1231103333333,27492.386627423602,362,337,12,0,3.4486146999988705,coverage_exhausted,user_exit,0,2,8,4dd9a4a988be4e6876f501653aee6945027443bd3ab9510c282d6ebfa3fbc7ae,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,a0868ebb5f0363a0e5d025a273288729cb52ceff1d7ac8db67d31ab8860c18aa,0,core,5500.149729,1185.5902960000008,165.48943499999996,0.0,854.247864,11.0,7246.472404,603.8727003333333,7493.472404,247.0,0.0,9,0,25,348,3432.1497289999998,1740.0,328.0,40.0,200.0,35.0,108.0,540.0,97.0,200.0,1000.0,196.0,True,False,False,,,,,78,True
