variant,directional_count,count,mean,std,max
B0,1,16,579.1962265861068,106.71242588532188,715.0703325000001
B0,2,10,557.20200476158,103.6123895797302,723.4764148
B0,3,16,576.8889278624875,101.51324751740064,767.1988483
B0,4,15,552.0737243922287,137.2213313775854,770.3617304
B0,5,10,501.9256779276099,81.58773315586245,594.085434
B0,6,10,570.2763686020833,130.95666723360085,769.4480029
B0,7,10,573.2278203956577,103.36423762297879,743.7935487
B0,8,12,610.0510969420454,127.70631932192612,846.8656129000001
B0,9,4,628.9198704825893,159.4373723916235,815.7610440000001
B0,10,7,634.1204288216117,84.8501244440882,813.7952317
B0,11,8,571.5256064287607,78.22119268708296,718.5334508181818
B0,12,5,552.5229683559525,75.25885643264832,645.62485325
B0,13,3,542.8065534904762,50.66669637700609,594.2881500714285
B0,15,1,545.5542253125,,545.5542253125
B0,16,1,495.4808959375,,495.4808959375
B10,1,16,580.1360152267318,106.9284116369979,715.0703325000001
B10,2,10,555.4789237115801,100.64065365695456,706.2456043
B10,3,16,580.2769032073364,102.44370325355546,767.1988483
B10,4,15,549.9776872250251,140.90514748685783,770.3617304
B10,5,10,504.1312042968407,82.1861676665338,594.085434
B10,6,10,574.7732830120833,126.77772235353666,769.4480029
B10,7,10,574.6827806256576,105.04832813612417,743.7935487
B10,8,12,611.5105245244318,126.84477383759481,846.8656129000001
B10,9,4,629.5254381325893,159.80542295132662,815.7610440000001
B10,10,7,635.3680962739927,84.53955999610616,813.7952317
B10,11,8,570.4822516166937,72.25971792768264,698.8682585454545
B10,12,5,552.5229683559525,75.25885643264832,645.62485325
B10,13,3,542.8065534904762,50.66669637700609,594.2881500714285
B10,15,1,545.5542253125,,545.5542253125
B10,16,1,442.580225375,,442.580225375
B20,1,16,570.7055044579982,131.76410222903306,715.0703325000001
B20,2,10,564.3227356415802,90.18507353517293,706.2456043
B20,3,16,579.9224507974296,100.78830888629666,767.1988483
B20,4,15,559.2959215522606,136.5047393062354,773.8681351
B20,5,10,503.43864035837913,82.34186521478783,594.085434
B20,6,10,579.5121911670833,132.05376850117023,769.4480029
B20,7,10,576.1201265108125,102.67844118728964,741.1280581
B20,8,12,604.2079790496032,127.92801689822632,846.8656129000001
B20,9,4,632.9651905575893,159.8896225623715,803.7270999
B20,10,7,642.1456711668499,87.43278376628079,813.7952317
B20,11,8,569.7703593220508,72.43085665519848,698.8682585454545
B20,12,5,555.6528791684524,72.37543874626672,645.62485325
B20,13,3,546.886554068254,41.72659319004109,594.2881500714285
B20,15,1,545.5542253125,,545.5542253125
B20,16,1,442.580225375,,442.580225375
B5,1,16,580.0986123413152,106.92884993751382,715.0703325000001
B5,2,10,555.6604573215801,100.94400032417896,708.0609403999999
B5,3,16,578.0194551187375,103.06851930521783,767.1988483
B5,4,15,549.9776872250251,140.90514748685783,770.3617304
B5,5,10,506.35268638145607,83.3764255698464,594.085434
B5,6,10,573.7557472620833,127.13986587403002,769.4480029
B5,7,10,573.8491217956577,103.78159178311081,743.7935487
B5,8,12,613.0809762152462,120.54058197271996,846.8656129000001
B5,9,4,628.9198704825893,159.4373723916235,815.7610440000001
B5,10,7,634.1204288216117,84.8501244440882,813.7952317
B5,11,8,574.5414962757847,80.89800405015407,731.3422158181819
B5,12,5,552.5229683559525,75.25885643264832,645.62485325
B5,13,3,542.8065534904762,50.66669637700609,594.2881500714285
B5,15,1,545.5542253125,,545.5542253125
B5,16,1,495.4808959375,,495.4808959375
R12,1,16,557.4364420679851,119.64366586166348,685.1448758
R12,2,10,541.4461877301732,99.50205493403928,690.3189982
R12,3,16,560.5813302900433,84.31310570529209,707.6019648
R12,4,15,546.4461218285235,123.44496127796864,718.2206009
R12,5,10,514.5105008045559,90.88524077149252,656.2558205833333
R12,6,10,557.3466071533333,133.0681655447901,769.4480029
R12,7,10,558.1162111876357,101.72335926458634,732.8685396
R12,8,12,589.0226456591992,124.93646039326185,846.8656129000001
R12,9,4,610.7076421044643,168.26258902964773,760.6122661
R12,10,7,613.2989950311356,50.94863584327126,719.30101
R12,11,8,558.1553855548972,71.0444375195345,677.6521297272727
R12,12,5,543.1528530255953,72.69110775519313,621.07091775
R12,13,3,497.3632961365079,76.87602293905178,586.0403681428571
R12,15,1,461.508975875,,461.508975875
R12,16,1,455.734977875,,455.734977875
