variant,total,count,mean,std,max
B0,10,22,726.1592723363636,51.99968638075866,846.8656129000001
B0,11,15,659.0734278,33.225425454964885,718.5334508181818
B0,12,25,599.6962027233334,40.030657553775185,690.154727
B0,13,15,544.6987940923077,36.171310551619996,633.0488005384615
B0,14,19,504.9551474248121,39.87453650178082,594.2881500714285
B0,15,21,468.8148193111111,33.59089461490874,541.1354048
B0,16,11,420.04052557954543,90.69326536708664,545.5542253125
B10,10,22,726.7253245545454,51.75758741501265,846.8656129000001
B10,11,15,660.0536149939394,33.29237809042582,712.9050963636364
B10,12,25,600.64701434,40.21951397434473,690.154727
B10,13,15,543.696453148718,41.42226431914162,639.2618145384615
B10,14,19,507.6998095112782,41.8939407492608,594.2881500714285
B10,15,21,471.2957932126984,33.54387431140723,541.1354048
B10,16,11,413.6249133977273,85.04968127936988,545.5542253125
B20,10,22,727.3608776136364,52.172916484128066,846.8656129000001
B20,11,15,663.8416209939394,37.043957105554824,714.4578105454545
B20,12,25,602.41893193,43.3031725043323,701.0414057500001
B20,13,15,544.3233923794872,41.64711609855706,639.2618145384615
B20,14,19,510.26654362030075,35.81147734037674,594.2881500714285
B20,15,21,472.0060383365079,34.754714847336075,530.6640648
B20,16,11,407.63106329545457,96.48036299056024,545.5542253125
B5,10,22,726.2807705954546,51.86813006265912,846.8656129000001
B5,11,15,659.9933887939394,34.515783645573094,731.3422158181819
B5,12,25,600.2737296066666,40.08593255010955,690.154727
B5,13,15,543.1299332820513,40.874521063594855,639.2618145384615
B5,14,19,507.41525421804505,41.67167565289999,594.2881500714285
B5,15,21,470.8510935365079,32.88182514060164,541.1354048
B5,16,11,423.18158986363636,92.945690610031,545.5542253125
R12,10,22,702.5039347363637,47.44339854903313,846.8656129000001
R12,11,15,637.4875061030303,31.579201716086327,694.9562021818182
R12,12,25,595.5513299633334,27.870461747673097,656.2558205833333
R12,13,15,530.7176365641026,28.27479550471102,580.8858763846154
R12,14,19,498.4063581578948,42.1080541966843,586.0403681428571
R12,15,21,452.8651332539683,23.803902201061266,496.74239686666664
R12,16,11,395.17019732386365,80.45491062865533,502.8924526875
