arm,metric,delta_per_scene,delta_per_source
B0,total,186.55426346874995,14.769448817668362
B0,runtime,1.9482688078120418,0.15615483868090518
B0,discovery__travel_s,200.55201283593735,16.22617655385333
B0,discovery__measure_s,-19.5703125,-1.6049412826756575
B0,discovery__switch_s,-4.125,-0.33567805892024644
B0,discovery__clear_s,0.0,0.0
B0,discovery__total_s,176.8567003359374,14.285557212257428
B0,active_localization__travel_s,-44.99251164843738,-3.0902670746142773
B0,active_localization__measure_s,-1.7578125,-0.1350422038898601
B0,active_localization__switch_s,-0.171875,-0.009673009282384279
B0,active_localization__clear_s,0.0,0.0
B0,active_localization__total_s,-46.92219914843738,-3.2349822877865213
B0,diagnostic__travel_s,48.66269656250004,3.750659650163218
B0,diagnostic__measure_s,1.328125,0.09722276421495171
B0,diagnostic__switch_s,0.1171875,0.008192328504828504
B0,diagnostic__clear_s,0.0,0.0
B0,diagnostic__total_s,50.10800906250004,3.8560747428829982
B0,optical_fallback__travel_s,-4.286635367187493,-0.4479636920069834
B0,optical_fallback__measure_s,0.0,0.0
B0,optical_fallback__switch_s,0.0,0.0
B0,optical_fallback__clear_s,-1.0859375,-0.12762192234848485
B0,optical_fallback__total_s,-5.372572867187493,-0.5755856143554683
B0,certified_clear__travel_s,11.806201085937417,0.42992122300326097
B0,certified_clear__measure_s,0.0,0.0
B0,certified_clear__switch_s,0.0,0.0
B0,certified_clear__clear_s,0.078125,0.008463541666666666
B0,certified_clear__total_s,11.884326085937415,0.4383847646699277
B0,all__travel_s,211.74176346874998,16.86852666039855
B0,all__measure_s,-20.0,-1.642760722350566
B0,all__switch_s,-4.1796875,-0.3371587396978022
B0,all__clear_s,-1.0078125,-0.11915838068181818
B0,last_source_first_seen_s,15.433596148437509,2.088334637856577
B0,post_last_seen_discovery_s,125.16699493749991,9.485952771408662
B0,post_all_cleared_discovery_s,-24.74309822656257,-1.9064645701891934
B0,discovery_nodes,0.0390625,0.00244140625
B0,detect_count,-4.0,-0.32855214447011316
B0,clear_attempts,-0.3359375,-0.039719460227272727
B0,fallback_count,-0.015625,-0.0016927083333333336
B0,diagnostic_count,0.265625,0.01944455284299034
B0,distance,1058.7088167976658,84.34263326628044
B5,total,201.35500948437496,15.79627015726477
B5,runtime,1.9369015835936807,0.15522311283084916
B5,discovery__travel_s,224.96241771093736,18.004976360599223
B5,discovery__measure_s,-21.25,-1.7388296924429736
B5,discovery__switch_s,-4.5,-0.3647770848942724
