id,arm,N,total,runtime,discovery__travel_s,discovery__measure_s,discovery__switch_s,discovery__clear_s,discovery__total_s,active_localization__travel_s,active_localization__measure_s,active_localization__switch_s,active_localization__clear_s,active_localization__total_s,diagnostic__travel_s,diagnostic__measure_s,diagnostic__switch_s,diagnostic__clear_s,diagnostic__total_s,optical_fallback__travel_s,optical_fallback__measure_s,optical_fallback__switch_s,optical_fallback__clear_s,optical_fallback__total_s,certified_clear__travel_s,certified_clear__measure_s,certified_clear__switch_s,certified_clear__clear_s,certified_clear__total_s,all__travel_s,all__measure_s,all__switch_s,all__clear_s,last_source_first_seen_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,discovery_nodes,detect_count,clear_attempts,fallback_count,diagnostic_count,distance
0,B0,10,7054.440363,4.396092999988468,3496.491138,1710.0,324.0,0.0,5530.491138,754.2383080000003,50.0,6.0,0.0,810.2383080000003,264.99518400000034,20.0,2.0,0.0,286.99518400000034,0.0,0.0,0.0,0.0,0.0,376.7157329999992,0.0,0.0,50.0,426.7157329999992,4892.440363,1780.0,332.0,50.0,2118.470961,3912.513512,2052.5123379999995,25,356,10,0,4,24462.201820133236
1,B0,12,7705.477324,4.482399300002726,3432.1497289999998,1740.0,328.0,0.0,5500.149729,1117.5902960000008,60.0,8.0,0.0,1185.5902960000008,154.48943499999996,10.0,1.0,0.0,165.48943499999996,0.0,0.0,0.0,0.0,0.0,794.247864,0.0,0.0,60.0,854.247864,5498.477324,1810.0,337.0,60.0,7246.472404,247.0,0.0,25,362,12,0,2,27492.386627423602
2,B0,10,6903.189982,2.611981200010632,3489.067804,1745.0,330.0,0.0,5564.067803999999,693.3282970000005,35.0,5.0,0.0,733.3282970000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.7938809999995,0.0,0.0,50.0,605.7938809999995,4738.189982,1780.0,335.0,50.0,3903.84651,2363.1817440000004,1548.8512730000002,25,356,10,0,0,23690.949919436545
3,B0,14,7021.179233,2.6920252999989316,3862.2611149999984,1350.0,249.0,0.0,5461.261114999998,385.6195080000007,40.0,5.0,0.0,430.6195080000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.298610000001,0.0,0.0,70.0,1129.298610000001,5307.179233,1390.0,254.0,70.0,5967.327595,944.2751280000002,661.2751280000002,25,278,14,0,0,26535.89617632033
4,B0,11,7079.292019,3.1389888000121573,3349.5721919999996,1485.0,279.0,0.0,5113.572192,1326.9711340000001,90.0,9.0,0.0,1425.9711340000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.74869300000074,0.0,0.0,55.0,539.7486930000007,5161.292019,1575.0,288.0,55.0,3523.073077,3154.261595,2785.711311,25,315,11,0,0,25806.460100007982
5,B0,15,7159.533377,2.9433033999957843,3952.471507,1110.0,204.0,0.0,5266.471507,852.7653169999995,55.0,10.0,0.0,917.7653169999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.2965530000001,0.0,0.0,75.0,975.2965530000001,5705.533377,1165.0,214.0,75.0,2486.875086,3808.912005,1578.254973,25,233,15,0,0,28527.666891881407
6,B0,10,6853.36291,2.5969937999907415,3492.5983489999994,1640.0,308.0,0.0,5440.598349,710.6108740000001,40.0,8.0,0.0,758.6108740000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.1536870000004,0.0,0.0,50.0,654.1536870000004,4807.36291,1680.0,316.0,50.0,3312.581245,3137.7395149999998,1178.4900109999999,25,336,10,0,0,24036.814558647384
7,B0,14,7252.608516,3.2125150999927428,3450.679592,1620.0,306.0,0.0,5376.6795919999995,866.0280390000013,70.0,9.0,0.0,945.0280390000013,344.02826599999935,10.0,2.0,0.0,356.02826599999935,0.0,0.0,0.0,0.0,0.0,504.87261899999976,0.0,0.0,70.0,574.8726189999998,5165.608516,1700.0,317.0,70.0,6485.740593,590.7801389999995,258.79799600000024,25,340,14,0,2,25828.042588138684
8,B0,12,7365.64366,3.3807852000027196,3407.095036,1545.0,292.0,0.0,5244.095036,1288.8242959999998,100.0,10.0,0.0,1398.8242959999998,190.21852800000033,10.0,0.0,0.0,200.21852800000033,0.0,0.0,0.0,0.0,0.0,462.50579999999934,0.0,0.0,60.0,522.5057999999993,5348.643659999999,1655.0,302.0,60.0,4419.451458,2495.741613,902.6924849999996,25,331,12,0,2,26743.218303418078
9,B0,10,7694.480029,2.970408100009081,3192.809471999998,1940.0,368.0,0.0,5500.809471999998,1127.3321230000015,65.0,8.0,0.0,1200.3321230000015,541.7459309999995,15.0,1.0,0.0,557.7459309999995,0.0,0.0,0.0,0.0,0.0,385.59250300000133,0.0,0.0,50.0,435.59250300000133,5247.480029,2020.0,377.0,50.0,5806.335715,753.326329999998,0.0,25,404,10,0,3,26237.400160709403
