method,id,step,max_range,min_ess,top3_sets
uniform,63,8,0.08198797292465027,202.55445345228486,1
uniform,169,9,0.0,400.0697158969702,1
uniform,184,1,0.08221569766905024,504.8400116135301,1
uniform,211,2,0.12098552668445034,323.6878932229131,1
uniform,230,18,0.037025783594452744,314.73946922278014,1
uniform,273,19,0.06002787575788382,282.3450656290775,1
uniform,503,16,0.061163325152723935,167.80435149690112,1
uniform,653,18,0.04157871432541094,212.18543831452496,1
uniform,751,9,0.058729484934873344,261.95179002472486,1
uniform,761,2,0.09013297701336215,243.58281875377145,1
uniform,890,2,0.05750572920049768,177.6794756929033,2
uniform,942,10,0.05277661366290359,239.7520768407596,1
adaptive,63,8,0.046401661331095245,364.2573862012767,1
adaptive,169,9,0.0,403.7706834884261,1
adaptive,184,1,0.10350382374778766,449.3703132854776,1
adaptive,211,2,0.11501324624519116,381.07876620139467,1
adaptive,230,18,0.03462047535100121,358.2265450365808,1
adaptive,273,19,0.08054931629031203,365.0808539533019,1
adaptive,503,16,0.04892813718450861,338.5844793237939,1
adaptive,653,18,0.025989539233669978,348.0619102570344,1
adaptive,751,9,0.05454679829343806,381.2592618696106,1
adaptive,761,2,0.07593830150765518,382.4070556154104,1
adaptive,890,2,0.05403032064090807,333.6772551866549,3
adaptive,942,10,0.04558399695439186,364.29527070621543,1
