id,step,repeat,channel,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
184,1,1,4,126.6993032451549,128,512,512.0,1
184,1,1,8,126.67289011702364,128,512,512.0,1
184,1,1,12,126.57289588974555,128,512,512.0,1
184,1,1,14,127.99999999999997,128,512,512.0,0
184,1,1,17,127.9786655565828,128,512,512.0,0
184,1,1,20,127.0,128,512,512.0,1
184,1,0,4,127.0,128,512,512.0,1
184,1,0,8,125.84623666492588,128,512,512.0,2
184,1,0,12,125.87171494049788,128,512,512.0,2
184,1,0,14,126.92034708754971,128,512,512.0,1
184,1,0,17,126.73916464105963,128,512,512.0,1
184,1,0,20,127.7476680722099,128,512,512.0,0
184,1,2,4,127.69965877745518,128,512,512.0,0
184,1,2,8,126.76253522443187,128,512,512.0,1
184,1,2,12,127.93579473106576,128,512,512.0,0
184,1,2,14,127.96905955332903,128,512,512.0,0
184,1,2,17,126.73931524498596,128,512,512.0,1
184,1,2,20,127.94005690120925,128,512,512.0,0
761,2,1,1,85.8209542314968,128,512,291.9999999999999,6
761,2,1,5,127.9077978791003,128,512,512.0,0
761,2,1,8,59.1517361853539,128,512,64.99999999999984,14
761,2,1,10,86.92645981174095,128,512,472.9999999999997,8
761,2,1,12,124.83158806472085,128,512,512.0,3
761,2,0,1,84.58778485599396,128,512,399.9999999999993,7
761,2,0,5,127.75687028520242,128,512,512.0,0
761,2,0,8,61.45102316117788,128,512,506.00000000000034,10
761,2,0,10,89.15161545614323,128,512,138.9999999999999,7
761,2,0,12,127.92257592879643,128,512,512.0,0
761,2,2,1,87.55207017856395,128,512,374.00000000000034,5
761,2,2,5,126.94397420398698,128,512,512.0,1
761,2,2,8,53.29009095274815,128,512,451.99999999999994,16
761,2,2,10,94.95436941448685,128,512,289.9999999999997,1
761,2,2,12,125.00000000000013,128,512,512.0,3
211,2,0,2,127.73061507817764,128,512,512.0,0
211,2,0,3,82.81912213678368,128,512,114.99999999999982,3
211,2,0,6,83.07081936818659,128,512,509.9999999999991,10
211,2,0,7,127.0,128,512,512.0,1
