id,step,channel,phase,banks,max_probability_range,min_source_ess,top3_orderings,top3_sets
63,8,5,middle,3,0.03512054699529399,218.18763323514307,1,1
169,9,1,middle,3,0.0,402.6396114291168,1,1
184,1,4,early,3,0.05185950302812617,506.4459697492679,1,1
211,2,3,early,3,0.043296509190514865,333.2033221051754,1,1
230,18,20,late,3,0.036267412903352,309.93401618107333,1,1
273,19,4,late,3,0.05798597812213113,272.8628227439298,1,1
503,16,2,late,3,0.07161558830147297,168.43676800284948,1,1
653,18,1,late,3,0.03398912842838231,196.03577681719554,1,1
751,9,5,middle,3,0.09306467810890767,262.50142981597844,2,1
761,2,8,early,3,0.09722967591774928,240.81161303277875,1,1
890,2,7,early,3,0.06049394833614252,185.78075516028355,2,2
942,10,1,middle,3,0.06009794132997309,219.93484708215317,1,1
