prior_radius,method,bin,count,predicted_sum,observed_sum
1800,belief,0,2418,116.16617239829026,72
1800,belief,1,4337,647.5985756034581,694
1800,belief,2,3271,783.0180183825094,784
1800,belief,3,3880,1386.7432476360477,1284
1800,belief,4,3372,1491.686555001464,1447
1800,belief,5,3115,1728.958648442642,1894
1800,belief,6,5394,3541.731730971128,3466
1800,belief,7,7078,5284.585082000253,5083
1800,belief,8,5614,4729.850645367409,4571
1800,belief,9,2477,2342.997069017064,2317
1800,geometry,1,1187,165.88159179687497,188
1800,geometry,2,1073,265.9080956244724,199
1800,geometry,3,1656,545.7522589071825,496
1800,geometry,4,3844,1689.095432548479,1266
1800,geometry,5,7099,3919.071270049862,2510
1800,geometry,6,6110,3948.2529042454967,2971
1800,geometry,7,8369,6172.321882356529,5081
1800,geometry,8,6498,5492.516214687533,4563
1800,geometry,9,5120,4857.625785200891,4338
2000,belief,0,1974,89.68627043878533,37
2000,belief,1,3653,543.3961400080194,485
2000,belief,2,3891,934.5424080369265,927
2000,belief,3,2360,843.7309173166301,667
2000,belief,4,4761,2145.3714483775907,1869
2000,belief,5,2866,1568.4701860412333,1725
2000,belief,6,4853,3189.9697820818747,3045
2000,belief,7,8255,6201.106271701094,5778
2000,belief,8,6125,5163.7143866456945,5003
2000,belief,9,2218,2092.822247751745,2076
2000,geometry,1,1187,168.72963579963232,188
2000,geometry,2,1073,267.37891450950957,199
2000,geometry,3,1656,556.2194583948809,496
2000,geometry,4,3844,1713.3986522237385,1266
2000,geometry,5,6092,3359.8258015243437,2075
2000,geometry,6,8993,5900.052829015209,4381
2000,geometry,7,7151,5376.265171967679,4435
2000,geometry,8,6734,5713.527981210578,4871
2000,geometry,9,4226,3981.721991756874,3701
