prior_radius,id,method,top1,top3,mrr,brier,fallback
1800,0,R12,0.32,0.68,0.48333333333333334,,0.0
1800,0,belief,0.64,0.68,0.6633333333333333,0.1301278888028633,0.0
1800,0,distance,0.36,0.56,0.48666666666666664,,0.0
1800,0,geometry,0.72,0.72,0.72,0.23803614949750682,0.0
1800,0,uniform,0.34253304235884663,0.5988742795321069,0.480644389144657,0.2549154360145636,0.0
1800,1,R12,0.24,0.52,0.3733333333333333,,0.0
1800,1,belief,0.6,0.6,0.6,0.1324575945041026,0.0
1800,1,distance,0.24,0.28,0.3253333333333333,,0.0
1800,1,geometry,0.44,0.44,0.4706666666666667,0.31966070155018494,0.0
1800,1,uniform,0.2703928340456002,0.49247273559213256,0.3900854387298608,0.3215328242004257,0.0
1800,2,R12,0.24,0.48,0.3904920634920635,,0.0
1800,2,belief,0.76,0.76,0.76,0.12368119714033626,0.0
1800,2,distance,0.24,0.56,0.4346666666666667,,0.0
1800,2,geometry,0.76,0.76,0.76,0.16950047733748602,0.0
1800,2,uniform,0.6165068542381774,0.7513142762473762,0.6816977860609179,0.16930363100414192,0.0
1800,3,R12,0.2,0.28,0.27266666666666667,,0.0
1800,3,belief,0.48,0.48,0.48,0.0860323900694702,0.0
1800,3,distance,0.2,0.24,0.2546666666666667,,0.0
1800,3,geometry,0.48,0.48,0.48,0.3075737707833239,0.0
1800,3,uniform,0.2827739926620395,0.4420691564683354,0.3627320630950344,0.3135758056179084,0.0
1800,4,R12,0.32,0.6,0.4893333333333334,,0.0
1800,4,belief,0.56,0.64,0.634,0.16854752124201905,0.0
1800,4,distance,0.28,0.52,0.446,,0.0
1800,4,geometry,0.56,0.6,0.618,0.1967094027847322,0.0
1800,4,uniform,0.3834848286007527,0.6694738843917334,0.5368560848217435,0.18250809888656513,0.0
1800,5,R12,0.32,0.64,0.49133333333333334,,0.0
1800,5,belief,0.8,0.8,0.8,0.13631833330590712,0.0
1800,5,distance,0.32,0.56,0.4706666666666666,,0.0
1800,5,geometry,0.8,0.8,0.8,0.2567488232526466,0.0
1800,5,uniform,0.5154426594807804,0.7669984595383975,0.6377146285521653,0.2731547414700671,0.0
1800,6,R12,0.24,0.4,0.35871428571428576,,0.0
1800,6,belief,0.56,0.64,0.6,0.11391307459162256,0.0
1800,6,distance,0.28,0.32,0.361047619047619,,0.0
1800,6,geometry,0.24,0.64,0.42,0.21444064848249983,0.0
1800,6,uniform,0.18702582529568665,0.3856783080068852,0.3169560615770188,0.21575475736216376,0.0
1800,7,R12,0.32,0.56,0.46266666666666667,,0.0
1800,7,belief,0.2,0.72,0.47,0.16914853132553492,0.0
1800,7,distance,0.32,0.52,0.4567142857142857,,0.0
1800,7,geometry,0.04,0.76,0.34,0.19376801904822513,0.0
1800,7,uniform,0.5105897147198534,0.7347994981193259,0.619239844086491,0.1707504427378626,0.0
1800,8,R12,0.24,0.44,0.32666666666666666,,0.0
1800,8,belief,0.44,0.44,0.44,0.06894532556610726,0.0
1800,8,distance,0.24,0.4,0.33,,0.0
1800,8,geometry,0.44,0.44,0.44,0.1091735491199538,0.0
1800,8,uniform,0.2657388744277962,0.40725096449743103,0.33653335052861955,0.11018223895431477,0.0
1800,9,R12,0.32,0.6,0.45799999999999996,,0.0
1800,9,belief,0.56,0.56,0.588,0.21360896167910187,0.0
1800,9,distance,0.32,0.52,0.44420634920634916,,0.0
1800,9,geometry,0.32,0.56,0.4630952380952381,0.3310233902867513,0.0
1800,9,uniform,0.2874979810575449,0.5334104823699655,0.4309463799055453,0.33474599148718154,0.0
1800,10,R12,0.5,0.6666666666666666,0.6327380952380952,,0.0
1800,10,belief,1.0,1.0,1.0,0.12936297005391104,0.0
1800,10,distance,0.5,0.6666666666666666,0.6257936507936508,,0.0
1800,10,geometry,1.0,1.0,1.0,0.19325799889515138,0.0
1800,10,uniform,0.740462343988054,0.9762894121926293,0.8552264517843443,0.20323678055489003,0.0
1800,11,R12,0.16,0.28,0.2769062049062049,,0.0
1800,11,belief,0.36,0.44,0.46399999999999997,0.19573773585398194,0.0
1800,11,distance,0.2,0.24,0.2968095238095238,,0.0
1800,11,geometry,0.08,0.48,0.33,0.32038354653467904,0.0
1800,11,uniform,0.3639864843999721,0.6404109495296734,0.5108713523093583,0.31223157548787106,0.0
1800,12,R12,0.28,0.56,0.44266666666666665,,0.0
1800,12,belief,0.76,0.76,0.76,0.10968129872283498,0.0
1800,12,distance,0.32,0.52,0.45371428571428574,,0.0
1800,12,geometry,0.76,0.76,0.76,0.23606115601943042,0.0
1800,12,uniform,0.49288310556496046,0.7270056304578447,0.6072527625669796,0.2506461942659256,0.0
1800,13,R12,0.45454545454545453,0.8636363636363636,0.6643939393939394,,0.0
1800,13,belief,1.0,1.0,1.0,0.19806360931104894,0.0
1800,13,distance,0.45454545454545453,0.8181818181818182,0.6681818181818181,,0.0
1800,13,geometry,0.5909090909090909,1.0,0.7878787878787878,0.23025302844415058,0.0
1800,13,uniform,0.7493564750584079,0.9813850883093501,0.8613465667653641,0.219428197064364,0.0
1800,14,R12,0.16,0.2,0.1954037629037629,,0.0
1800,14,belief,0.08,0.2,0.17066666666666666,0.13639165760799904,0.0
1800,14,distance,0.16,0.2,0.20228327228327228,,0.0
1800,14,geometry,0.04,0.12,0.10404761904761906,0.3360969558016771,0.0
1800,14,uniform,0.13574391590073376,0.26273880586143344,0.2151096417522117,0.31889577747206954,0.0
