prior_radius,method,top1,top3,mrr,brier,fallback
1800,R12,0.28453968736577434,0.5018050047024232,0.4199657369472414,,0.0
1800,belief,0.6011027340714841,0.6980447590603841,0.650866644423285,0.1594268808789473,0.0
1800,distance,0.29041022308006004,0.5109868249202488,0.427310689618604,,0.0
1800,geometry,0.5134681355027823,0.6950994318181818,0.6045623891758403,0.23469845471909498,0.0
1800,uniform,0.4229251466020586,0.647935864294106,0.5409378668338161,0.23563019445547942,0.0
2000,R12,0.28453968736577434,0.5018050047024232,0.4199657369472414,,0.0
2000,belief,0.602992164085914,0.6949986732017982,0.6519759026419183,0.161755950294939,0.0
2000,distance,0.29041022308006004,0.5109868249202488,0.427310689618604,,0.0
2000,geometry,0.4965120533904501,0.6972356376262626,0.5980102740456001,0.23336614136655295,0.0
2000,uniform,0.4229251466020586,0.647935864294106,0.5409378668338161,0.23543379179759413,0.0
