method,bin,count,predicted_sum,observed_sum
belief,0,6029,271.4333363074646,141
belief,1,12733,1907.6927633593214,1408
belief,2,12081,2875.180446195872,2723
belief,3,6422,2283.9513414561425,2157
belief,4,13826,6232.127400194805,5947
belief,5,8485,4634.848286157862,4832
belief,6,13951,9155.912167341365,8608
belief,7,23336,17529.787021662174,16805
belief,8,19162,16165.128602465362,15802
belief,9,6690,6305.160792715127,6300
geometry,1,3000,426.31219123391537,424
geometry,2,3801,947.017417896241,895
geometry,3,5312,1771.4233705138556,1481
geometry,4,11119,4983.10327541497,3603
geometry,5,18449,10197.521621456059,6314
geometry,6,25112,16483.106278513427,12530
geometry,7,22531,16931.591304329108,13949
geometry,8,20149,17056.699187296363,14234
geometry,9,13242,12466.571843749203,11293
