id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,known16_enabled_from_config
0,development,native_unconditioned,R12,FULL_CLEAR,,14,14,8122.215079,580.1582199285714,580.1582199285714,29446.07538470065,364,343,14,0,2.4827129999903264,coverage_exhausted,user_exit,0,3,10,7887f1b74f9b5929efccc7e91154ef185dd0e923794ed7b93c728b888a2d7322,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5282.570225000001,1314.4489060000005,860.2358029999996,0.0,664.9601449999983,65.0,5978.798821,427.05705864285716,7342.306024,1039.3351440000006,0.0,49,0,25,349,3205.5702250000013,1745.0,332.0,90.0,450.0,80.0,109.0,545.0,106.0,150.0,750.0,146.0,True,False,True,,,,,133,True
1,development,native_unconditioned,R12,FULL_CLEAR,,12,12,7163.770601,596.9808834166666,596.9808834166666,25833.852999520524,327,302,12,0,2.372869400001946,coverage_exhausted,user_exit,0,3,12,1f7d6736393334668218c81add87016d5b56b2447949c6d9feaecccc1764b4af,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5494.276515,1022.4976489999999,222.96354800000017,0.0,424.0328889999998,41.0,5978.868206,498.23901716666666,7163.770601,997.6814039999999,533.3182029999998,45,24,25,308,3664.2765150000005,1540.0,290.0,27.0,135.0,25.0,81.0,405.0,77.0,200.0,1000.0,188.0,True,False,True,,,,,70,True
0,development,native_unconditioned,MYOPIC,FULL_CLEAR,,14,14,9705.195946,693.2282818571429,693.2282818571429,39410.979735199435,296,273,14,0,2.762191799993161,coverage_exhausted,user_exit,0,1,10,7887f1b74f9b5929efccc7e91154ef185dd0e923794ed7b93c728b888a2d7322,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,7481.016549000001,1300.028856999999,107.9532650000001,0.0,816.1972749999998,65.0,5630.068895,402.1477782142857,9705.195946,3316.5717210000003,904.4002,68,18,25,280,5818.016549000001,1400.0,263.0,52.0,260.0,48.0,78.0,390.0,74.0,150.0,750.0,141.0,True,False,False,,,,,96,True
2,development,native_unconditioned,R12,FULL_CLEAR,,16,16,4564.695046,285.293440375,285.293440375,18153.475230115135,145,129,16,0,2.3418029000022216,public_max_cleared,user_exit,0,2,6,255f4b27ad9d9dc004535cff900d0f99e20ad32d86e819a25eed57447518da85,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,1539.1402940000003,2324.3887579999987,136.0119209999998,0.0,565.1540730000012,5.0,2789.703918,174.356494875,2789.703918,0.0,0.0,0,0,8,120,822.1402940000002,600.0,117.0,39.0,195.0,39.0,50.0,250.0,47.0,31.0,155.0,31.0,True,True,True,2789.703918,11.0,5.0,1774.9911279999997,96,True
1,development,native_unconditioned,MYOPIC,FULL_CLEAR,,12,12,10857.625321,904.8021100833333,904.8021100833333,43793.126603841054,344,319,12,0,2.5598895000002813,coverage_exhausted,user_exit,0,2,12,1f7d6736393334668218c81add87016d5b56b2447949c6d9feaecccc1764b4af,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,9102.862183000001,987.2123500000018,130.30972500000053,0.0,637.2410629999972,41.0,5864.716702,488.7263918333333,10857.625321,3995.233502,1215.5305680000001,101,24,25,328,7153.862183,1640.0,309.0,53.0,265.0,49.0,75.0,375.0,70.0,200.0,1000.0,190.0,True,False,False,,,,,93,True
2,development,native_unconditioned,MYOPIC,FULL_CLEAR,,16,16,4846.967192,302.9354495,302.9354495,19589.83595584565,144,129,16,0,2.4243315999920014,public_max_cleared,user_exit,0,3,6,255f4b27ad9d9dc004535cff900d0f99e20ad32d86e819a25eed57447518da85,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,2092.4412469999997,1558.7266280000003,543.6533659999996,0.0,652.1459510000002,5.0,3240.749921,202.5468700625,3240.749921,0.0,0.0,0,0,9,121,1371.4412469999997,605.0,116.0,43.0,215.0,42.0,46.0,230.0,42.0,32.0,160.0,32.0,True,True,False,3240.749921,10.0,6.0,1606.217271,98,True
4,development,native_unconditioned,R12,FULL_CLEAR,,13,13,7170.491203,551.5762463846154,551.5762463846154,24692.456029547157,365,342,13,0,1.2234566000115592,coverage_exhausted,user_exit,0,0,11,fdf7e1c823ed118505b9c55a48bd2c46fcb591618b28a86501f00af8dec3c1c4,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5311.991891,1229.1741430000002,0.0,0.0,629.3251689999998,47.0,6481.983146,498.6140881538461,7170.491203,492.87626999999975,486.87626999999975,22,21,25,352,3216.9918909999997,1760.0,335.0,28.0,140.0,26.0,149.0,745.0,138.0,175.0,875.0,171.0,True,False,True,,,,,66,True
0,development,native_unconditioned,TERMINAL,FULL_CLEAR,,14,14,8270.161979,590.7258556428571,590.7258556428571,32310.809905079044,294,268,14,0,4.483135799993761,coverage_exhausted,user_exit,0,2,10,7887f1b74f9b5929efccc7e91154ef185dd0e923794ed7b93c728b888a2d7322,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,5322.150154000002,1525.8052429999998,983.1456180000005,0.0,439.060963999999,65.0,6185.658781,441.83277007142857,7261.28714,826.2093810000006,0.0,43,0,25,274,3695.1501540000013,1370.0,257.0,29.0,145.0,25.0,95.0,475.0,90.0,150.0,750.0,142.0,True,False,False,,,,,77,True
3,development,native_unconditioned,R12,FULL_CLEAR,,16,16,7352.171197,459.5106998125,459.5106998125,27905.855994663532,286,261,16,0,2.0713551999942865,public_max_cleared,user_exit,0,6,13,2390957f7ebc9b6df815eb54897a4dd758e671163bb91c9df49110160e2f33b0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,3816.4094799999993,1335.2556010000003,1356.5993910000007,0.0,843.9067249999991,23.0,5827.625054,364.226565875,5827.625054,0.0,0.0,0,0,18,259,2273.4094799999993,1295.0,248.0,72.0,360.0,68.0,116.0,580.0,111.0,71.0,355.0,69.0,True,True,True,5827.625054,12.0,4.0,1524.5461429999996,131,True
1,development,native_unconditioned,TERMINAL,FULL_CLEAR,,12,12,7955.052484,662.9210403333333,662.9210403333333,29405.26243438571,339,313,14,2,4.420711200000369,coverage_exhausted,user_exit,1,4,12,1f7d6736393334668218c81add87016d5b56b2447949c6d9feaecccc1764b4af,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,6291.834113,939.6538369999998,190.09449800000033,24.745637999999985,508.7243980000003,41.0,4525.535675,377.1279729166667,7955.052484,2806.783989999999,157.84979099999964,130,8,25,320,4388.834113,1600.0,303.0,57.0,285.0,54.0,63.0,315.0,61.0,200.0,1000.0,188.0,True,False,False,,,,,102,True
4,development,native_unconditioned,MYOPIC,FULL_CLEAR,,13,13,10963.832758,843.3717506153846,843.3717506153846,44694.1637810216,331,305,13,0,1.8567449000111083,coverage_exhausted,user_exit,0,3,11,fdf7e1c823ed118505b9c55a48bd2c46fcb591618b28a86501f00af8dec3c1c4,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,9061.062963000002,823.038490999999,249.48825099999885,0.0,830.2430530000005,47.0,5946.871054,457.45161953846156,10963.832758,4109.309402000002,2073.872225000001,88,35,25,314,7195.062963000002,1570.0,296.0,64.0,320.0,58.0,75.0,375.0,70.0,175.0,875.0,168.0,True,False,False,,,,,107,True
3,development,native_unconditioned,MYOPIC,FULL_CLEAR,,16,16,8020.848962,501.303060125,501.303060125,32129.24483540677,221,197,87,71,2.3496789000055287,public_max_cleared,user_exit,2,8,13,2390957f7ebc9b6df815eb54897a4dd758e671163bb91c9df49110160e2f33b0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,4262.176158000001,1871.2398059999996,689.7562109999999,562.8598100000008,634.8169769999986,23.0,5943.68986,371.48061625,5943.68986,0.0,0.0,0,0,16,193,3112.176158000001,965.0,185.0,39.0,195.0,36.0,91.0,455.0,89.0,63.0,315.0,60.0,True,True,False,5943.68986,13.0,3.0,2077.1591019999996,170,True
