variant,directional_count,count,mean,std,max
MYOPIC,1,9,851.1832586943557,205.85711040216873,1175.1023171000002
MYOPIC,2,13,894.1278709263045,112.62760320617087,1142.9016143000001
MYOPIC,3,8,907.6173502352273,156.71665722219157,1180.5541938000001
MYOPIC,4,5,742.0267921375582,282.2977574672789,922.23223375
MYOPIC,5,9,883.4238411896141,121.03308998914629,1089.2967448
MYOPIC,6,8,725.433190892854,285.3559046361034,1052.0193270909092
MYOPIC,7,11,780.7276186281033,320.882825799436,1131.7431216999998
MYOPIC,8,10,930.3227861073159,159.9915578819646,1229.9335268999998
MYOPIC,9,7,836.8469775890693,279.87326834228935,1135.2553207
MYOPIC,10,10,765.8443818813282,218.32249861873336,1068.449785818182
MYOPIC,11,10,769.8269379321824,188.44779188866642,1023.7793532727272
MYOPIC,12,10,803.653474746131,195.15333387125608,1019.1982125833333
MYOPIC,13,10,653.8680489385531,162.4314125534244,838.7442433846154
MYOPIC,14,5,739.3834581235715,138.12342825064516,861.4591583571429
MYOPIC,15,2,786.4729571666667,7.794461194981308,791.9844735333334
MYOPIC,16,1,522.0445571875,,522.0445571875
R12,1,9,579.9152256977856,99.50843138501119,716.0126384
R12,2,13,581.8688044242488,79.9935832901648,690.7830577
R12,3,8,617.4151955403408,86.51627786557667,699.9244566
R12,4,5,558.5248750907342,113.52453033901129,642.93174375
R12,5,9,590.042498377428,94.07771885265794,739.4464517
R12,6,8,541.9990544340254,138.76943844778413,745.6742575000001
R12,7,11,548.4999773236403,177.36315281528888,738.4241671
R12,8,10,613.9491052880519,84.58812918859385,727.832085
R12,9,7,600.2887560660173,150.33552707195372,733.7889286
R12,10,10,564.0167793454275,83.75762366906476,696.9122576
R12,11,10,563.785187693954,107.08029386298197,760.323520090909
R12,12,10,561.9382427372024,77.6441501581733,635.03563825
R12,13,10,478.43821844100273,77.0015916806035,586.174395
R12,14,5,520.2380607711905,62.79434789377762,591.0255426428572
R12,15,2,496.86227206666666,10.722959532755022,504.4445494666667
R12,16,1,421.8306746875,,421.8306746875
TERMINAL,1,9,614.6506480449975,126.5523181716449,845.940069
TERMINAL,2,13,616.6498798278004,80.80720337323304,740.0488338
TERMINAL,3,8,684.1463436314393,97.62465171759423,816.5939036
TERMINAL,4,5,576.1008398837121,95.1408155374183,637.9666872727273
TERMINAL,5,9,638.1630697451178,98.44928117028545,790.242571
TERMINAL,6,8,584.405069997476,188.30235621500955,912.3765751000001
TERMINAL,7,11,579.7826576722326,216.49867526507845,823.5923608999999
TERMINAL,8,10,675.7842133102597,100.17834616839266,790.1506207
TERMINAL,9,7,687.5738271193183,183.83640676948147,862.752665
TERMINAL,10,10,618.7208645190818,133.53330364272315,880.4253914000001
TERMINAL,11,10,627.6154382043007,176.6933594688919,928.0549426363636
TERMINAL,12,10,612.2098335452381,85.49133032868912,731.3135078333333
TERMINAL,13,10,510.7245373560485,93.43389032063924,636.3661553846154
TERMINAL,14,5,562.4752018663096,46.17159471778517,611.4460989285715
TERMINAL,15,2,543.5012596,15.587499313995275,554.5232860666667
TERMINAL,16,1,468.4620001875,,468.4620001875
