variant,total,count,mean,std,max
MYOPIC,10,21,1072.2770715000001,75.76821981752707,1229.9335268999998
MYOPIC,11,21,935.095219935065,94.3200379164376,1088.1508239090908
MYOPIC,12,23,863.5808939963769,69.80740860625768,1019.1982125833333
MYOPIC,13,14,807.9973559835164,64.25753500739935,939.453399923077
MYOPIC,14,13,771.1972000934067,75.49828586965707,861.4591583571429
MYOPIC,15,17,717.2371527882353,69.69227056985441,806.4702136666667
MYOPIC,16,19,417.62759750000004,86.47898815840925,526.37729425
R12,10,21,705.5190860619048,25.98537167470184,745.6742575000001
R12,11,21,641.8526878354978,37.173334257456226,760.323520090909
R12,12,23,596.3568977427536,33.20216513370951,653.0450825833333
R12,13,14,543.1065512637363,36.84164406906931,596.569036
R12,14,13,538.7886207307693,48.065586146295416,640.6245947857143
R12,15,17,476.18719371764706,30.30255979102277,524.1340434
R12,16,19,395.86590894078944,65.93181674357946,488.9679148125
TERMINAL,10,21,786.305933352381,62.39539860551763,912.3765751000001
TERMINAL,11,21,719.5086381774892,74.68452064213669,928.0549426363636
TERMINAL,12,23,633.3259482391304,38.25622985249016,731.3135078333333
TERMINAL,13,14,587.5998014175824,50.02085214172366,696.2596456153847
TERMINAL,14,13,563.4939248956044,56.58706007986086,640.4065292142857
TERMINAL,15,17,523.5429057098039,36.015046085247,576.5585834666667
TERMINAL,16,19,404.68696718092104,74.13933325150565,494.1676228125
