version,known_count,count,sum,mean
v1,0,130,0,0.0
v1,2,24,0,0.0
v1,3,28,0,0.0
v1,4,58,1,0.017241379310344827
v1,5,86,5,0.05813953488372093
v1,6,120,4,0.03333333333333333
v1,7,162,16,0.09876543209876543
v1,8,178,11,0.06179775280898876
v1,9,212,21,0.09905660377358491
v1,10,350,28,0.08
v1,11,344,33,0.09593023255813954
v1,12,396,42,0.10606060606060606
v1,13,462,51,0.11038961038961038
v1,14,612,86,0.14052287581699346
v1,15,838,119,0.14200477326968974
v2,0,130,0,0.0
v2,2,24,0,0.0
v2,3,28,0,0.0
v2,4,58,0,0.0
v2,5,86,0,0.0
v2,6,120,0,0.0
v2,7,162,0,0.0
v2,8,178,0,0.0
v2,9,212,0,0.0
v2,10,350,0,0.0
v2,11,344,0,0.0
v2,12,396,0,0.0
v2,13,462,0,0.0
v2,14,612,0,0.0
v2,15,838,0,0.0
