channel,count,sum,mean
1,2323,103,0.04433921653034869
2,2429,181,0.07451626183614657
3,2585,131,0.05067698259187621
4,2756,358,0.12989840348330914
5,2356,182,0.07724957555178268
6,2480,260,0.10483870967741936
7,2393,219,0.09151692436272461
8,2322,180,0.07751937984496124
9,2446,182,0.07440719542109567
10,2575,313,0.12155339805825242
11,2515,189,0.07514910536779323
12,2621,381,0.14536436474628003
13,2440,204,0.08360655737704918
14,2408,118,0.049003322259136214
15,2437,167,0.06852687730816578
16,2543,255,0.10027526543452615
17,2501,199,0.07956817273090763
18,2349,121,0.05151128139633887
19,2762,632,0.22881969587255613
20,2412,118,0.04892205638474295
