version,id,step,world_index,phase,N,history_length,known_count,rejected
v1,184,1,0,early,16,20,6,0
v1,184,1,1,early,16,20,6,0
v2,184,1,0,early,16,20,6,0
v2,184,1,1,early,16,20,6,0
v1,980,6,0,early,10,109,6,0
v1,980,6,1,early,10,109,6,0
v2,980,6,0,early,10,109,6,0
v2,980,6,1,early,10,109,6,0
v1,566,2,0,early,10,45,3,0
v1,566,2,1,early,10,45,3,0
v2,566,2,0,early,10,45,3,0
v2,566,2,1,early,10,45,3,0
v1,725,2,0,early,13,41,7,0
v1,725,2,1,early,13,41,7,1
v2,725,2,0,early,13,41,7,0
v2,725,2,1,early,13,41,7,0
v1,183,3,0,early,16,60,8,0
v1,183,3,1,early,16,60,8,0
v2,183,3,0,early,16,60,8,0
v2,183,3,1,early,16,60,8,0
v1,27,1,0,early,16,20,4,0
v1,27,1,1,early,16,20,4,0
v2,27,1,0,early,16,20,4,0
v2,27,1,1,early,16,20,4,0
v1,543,8,0,early,11,150,7,1
v1,543,8,1,early,11,150,7,0
v2,543,8,0,early,11,150,7,0
v2,543,8,1,early,11,150,7,0
v1,33,0,0,early,16,0,0,0
v1,33,0,1,early,16,0,0,0
v2,33,0,0,early,16,0,0,0
v2,33,0,1,early,16,0,0,0
v1,136,4,0,early,16,79,8,0
v1,136,4,1,early,16,79,8,0
v2,136,4,0,early,16,79,8,0
v2,136,4,1,early,16,79,8,0
v1,978,2,0,early,14,43,8,1
v1,978,2,1,early,14,43,8,0
v2,978,2,0,early,14,43,8,0
v2,978,2,1,early,14,43,8,0
v1,405,1,0,early,16,20,2,0
v1,405,1,1,early,16,20,2,0
v2,405,1,0,early,16,20,2,0
v2,405,1,1,early,16,20,2,0
v1,223,1,0,early,16,20,7,0
v1,223,1,1,early,16,20,7,1
v2,223,1,0,early,16,20,7,0
v2,223,1,1,early,16,20,7,0
v1,794,4,0,early,10,78,8,0
v1,794,4,1,early,10,78,8,0
v2,794,4,0,early,10,78,8,0
v2,794,4,1,early,10,78,8,0
v1,241,0,0,early,16,0,0,0
v1,241,0,1,early,16,0,0,0
v2,241,0,0,early,16,0,0,0
v2,241,0,1,early,16,0,0,0
v1,105,1,0,early,16,20,4,0
v1,105,1,1,early,16,20,4,0
v2,105,1,0,early,16,20,4,0
v2,105,1,1,early,16,20,4,0
v1,977,4,0,early,13,84,10,0
v1,977,4,1,early,13,84,10,0
v2,977,4,0,early,13,84,10,0
v2,977,4,1,early,13,84,10,0
v1,46,4,0,early,16,83,11,0
v1,46,4,1,early,16,83,11,0
v2,46,4,0,early,16,83,11,0
v2,46,4,1,early,16,83,11,0
v1,364,4,0,early,16,83,8,0
v1,364,4,1,early,16,83,8,1
v2,364,4,0,early,16,83,8,0
v2,364,4,1,early,16,83,8,0
v1,290,0,0,early,16,0,0,0
v1,290,0,1,early,16,0,0,0
v2,290,0,0,early,16,0,0,0
v2,290,0,1,early,16,0,0,0
v1,52,1,0,early,16,20,2,0
v1,52,1,1,early,16,20,2,0
v2,52,1,0,early,16,20,2,0
v2,52,1,1,early,16,20,2,0
v1,181,6,0,early,16,119,10,0
v1,181,6,1,early,16,119,10,0
v2,181,6,0,early,16,119,10,0
v2,181,6,1,early,16,119,10,0
v1,231,1,0,early,16,20,6,0
v1,231,1,1,early,16,20,6,0
v2,231,1,0,early,16,20,6,0
v2,231,1,1,early,16,20,6,0
v1,913,8,0,early,15,153,12,0
v1,913,8,1,early,15,153,12,0
v2,913,8,0,early,15,153,12,0
v2,913,8,1,early,15,153,12,0
v1,871,2,0,early,15,43,11,0
v1,871,2,1,early,15,43,11,1
v2,871,2,0,early,15,43,11,0
v2,871,2,1,early,15,43,11,0
v1,58,3,0,early,16,59,10,1
v1,58,3,1,early,16,59,10,0
v2,58,3,0,early,16,59,10,0
v2,58,3,1,early,16,59,10,0
v1,599,5,0,early,13,94,7,0
v1,599,5,1,early,13,94,7,0
v2,599,5,0,early,13,94,7,0
v2,599,5,1,early,13,94,7,0
v1,392,1,0,early,16,20,6,0
v1,392,1,1,early,16,20,6,0
v2,392,1,0,early,16,20,6,0
v2,392,1,1,early,16,20,6,0
v1,701,7,0,early,13,128,12,0
v1,701,7,1,early,13,128,12,0
v2,701,7,0,early,13,128,12,0
v2,701,7,1,early,13,128,12,0
v1,689,5,0,early,13,99,3,0
v1,689,5,1,early,13,99,3,0
v2,689,5,0,early,13,99,3,0
v2,689,5,1,early,13,99,3,0
v1,600,0,0,early,14,0,0,0
v1,600,0,1,early,14,0,0,0
v2,600,0,0,early,14,0,0,0
v2,600,0,1,early,14,0,0,0
v1,129,1,0,early,16,20,7,0
v1,129,1,1,early,16,20,7,0
v2,129,1,0,early,16,20,7,0
v2,129,1,1,early,16,20,7,0
v1,285,3,0,early,16,62,7,0
v1,285,3,1,early,16,62,7,0
v2,285,3,0,early,16,62,7,0
v2,285,3,1,early,16,62,7,0
v1,132,4,0,early,16,77,8,0
v1,132,4,1,early,16,77,8,0
v2,132,4,0,early,16,77,8,0
v2,132,4,1,early,16,77,8,0
v1,333,2,0,early,16,45,10,0
v1,333,2,1,early,16,45,10,0
v2,333,2,0,early,16,45,10,0
v2,333,2,1,early,16,45,10,0
v1,941,3,0,early,13,62,7,0
v1,941,3,1,early,13,62,7,0
v2,941,3,0,early,13,62,7,0
v2,941,3,1,early,13,62,7,0
v1,747,0,0,early,11,0,0,0
v1,747,0,1,early,11,0,0,0
v2,747,0,0,early,11,0,0,0
v2,747,0,1,early,11,0,0,0
v1,944,8,0,early,10,160,6,0
v1,944,8,1,early,10,160,6,0
v2,944,8,0,early,10,160,6,0
v2,944,8,1,early,10,160,6,0
v1,1018,2,0,early,12,41,6,0
v1,1018,2,1,early,12,41,6,0
v2,1018,2,0,early,12,41,6,0
v2,1018,2,1,early,12,41,6,0
v1,556,1,0,early,12,20,4,0
v1,556,1,1,early,12,20,4,0
v2,556,1,0,early,12,20,4,0
v2,556,1,1,early,12,20,4,0
v1,967,0,0,early,15,0,0,0
v1,967,0,1,early,15,0,0,0
v2,967,0,0,early,15,0,0,0
v2,967,0,1,early,15,0,0,0
v1,753,8,0,early,11,156,4,0
v1,753,8,1,early,11,156,4,0
v2,753,8,0,early,11,156,4,0
v2,753,8,1,early,11,156,4,0
v1,481,4,0,early,16,77,7,0
v1,481,4,1,early,16,77,7,0
v2,481,4,0,early,16,77,7,0
v2,481,4,1,early,16,77,7,0
v1,320,3,0,early,16,64,10,0
v1,320,3,1,early,16,64,10,0
v2,320,3,0,early,16,64,10,0
v2,320,3,1,early,16,64,10,0
v1,92,5,0,early,16,94,8,0
v1,92,5,1,early,16,94,8,0
v2,92,5,0,early,16,94,8,0
v2,92,5,1,early,16,94,8,0
v1,347,1,0,early,16,20,2,0
v1,347,1,1,early,16,20,2,0
v2,347,1,0,early,16,20,2,0
v2,347,1,1,early,16,20,2,0
v1,824,1,0,early,10,20,2,0
v1,824,1,1,early,10,20,2,0
v2,824,1,0,early,10,20,2,0
v2,824,1,1,early,10,20,2,0
v1,855,4,0,early,11,80,8,0
v1,855,4,1,early,11,80,8,0
v2,855,4,0,early,11,80,8,0
v2,855,4,1,early,11,80,8,0
v1,854,6,0,early,10,118,5,0
v1,854,6,1,early,10,118,5,0
v2,854,6,0,early,10,118,5,0
v2,854,6,1,early,10,118,5,0
v1,169,2,0,early,16,41,10,0
v1,169,2,1,early,16,41,10,0
v2,169,2,0,early,16,41,10,0
v2,169,2,1,early,16,41,10,0
v1,410,0,0,early,16,0,0,0
v1,410,0,1,early,16,0,0,0
v2,410,0,0,early,16,0,0,0
v2,410,0,1,early,16,0,0,0
v1,1004,6,0,early,10,120,7,0
v1,1004,6,1,early,10,120,7,0
v2,1004,6,0,early,10,120,7,0
v2,1004,6,1,early,10,120,7,0
v1,545,8,0,early,13,127,12,0
v1,545,8,1,early,13,127,12,0
v2,545,8,0,early,13,127,12,0
v2,545,8,1,early,13,127,12,0
v1,251,6,0,early,16,112,9,0
v1,251,6,1,early,16,112,9,0
v2,251,6,0,early,16,112,9,0
v2,251,6,1,early,16,112,9,0
v1,960,0,0,early,14,0,0,0
v1,960,0,1,early,14,0,0,0
v2,960,0,0,early,14,0,0,0
v2,960,0,1,early,14,0,0,0
v1,983,5,0,early,13,98,8,0
v1,983,5,1,early,13,98,8,0
v2,983,5,0,early,13,98,8,0
v2,983,5,1,early,13,98,8,0
v1,259,5,0,early,16,100,7,0
v1,259,5,1,early,16,100,7,0
v2,259,5,0,early,16,100,7,0
v2,259,5,1,early,16,100,7,0
v1,982,0,0,early,12,0,0,0
v1,982,0,1,early,12,0,0,0
v2,982,0,0,early,12,0,0,0
v2,982,0,1,early,12,0,0,0
v1,313,0,0,early,16,0,0,0
v1,313,0,1,early,16,0,0,0
v2,313,0,0,early,16,0,0,0
v2,313,0,1,early,16,0,0,0
v1,793,7,0,early,15,124,10,0
v1,793,7,1,early,15,124,10,0
v2,793,7,0,early,15,124,10,0
v2,793,7,1,early,15,124,10,0
v1,191,5,0,early,16,95,14,0
v1,191,5,1,early,16,95,14,0
v2,191,5,0,early,16,95,14,0
v2,191,5,1,early,16,95,14,0
v1,392,4,0,early,16,81,13,1
v1,392,4,1,early,16,81,13,0
v2,392,4,0,early,16,81,13,0
v2,392,4,1,early,16,81,13,0
v1,558,6,0,early,14,112,10,0
v1,558,6,1,early,14,112,10,0
v2,558,6,0,early,14,112,10,0
v2,558,6,1,early,14,112,10,0
v1,615,6,0,early,11,116,7,0
v1,615,6,1,early,11,116,7,0
v2,615,6,0,early,11,116,7,0
v2,615,6,1,early,11,116,7,0
v1,884,8,0,early,10,147,10,0
v1,884,8,1,early,10,147,10,0
v2,884,8,0,early,10,147,10,0
v2,884,8,1,early,10,147,10,0
v1,770,7,0,early,10,128,6,0
v1,770,7,1,early,10,128,6,0
v2,770,7,0,early,10,128,6,0
v2,770,7,1,early,10,128,6,0
v1,663,5,0,early,11,97,6,0
v1,663,5,1,early,11,97,6,0
v2,663,5,0,early,11,97,6,0
v2,663,5,1,early,11,97,6,0
v1,764,4,0,early,10,82,6,0
v1,764,4,1,early,10,82,6,0
v2,764,4,0,early,10,82,6,0
v2,764,4,1,early,10,82,6,0
v1,734,2,0,early,10,42,6,0
v1,734,2,1,early,10,42,6,0
v2,734,2,0,early,10,42,6,0
v2,734,2,1,early,10,42,6,0
v1,858,8,0,early,14,159,7,0
v1,858,8,1,early,14,159,7,0
v2,858,8,0,early,14,159,7,0
v2,858,8,1,early,14,159,7,0
v1,508,6,0,early,16,114,13,0
v1,508,6,1,early,16,114,13,1
v2,508,6,0,early,16,114,13,0
v2,508,6,1,early,16,114,13,0
v1,781,4,0,early,15,79,9,0
v1,781,4,1,early,15,79,9,0
v2,781,4,0,early,15,79,9,0
v2,781,4,1,early,15,79,9,0
v1,648,2,0,early,14,42,6,0
v1,648,2,1,early,14,42,6,0
v2,648,2,0,early,14,42,6,0
v2,648,2,1,early,14,42,6,0
v1,962,2,0,early,10,40,5,0
v1,962,2,1,early,10,40,5,0
v2,962,2,0,early,10,40,5,0
v2,962,2,1,early,10,40,5,0
v1,457,0,0,early,16,0,0,0
v1,457,0,1,early,16,0,0,0
v2,457,0,0,early,16,0,0,0
v2,457,0,1,early,16,0,0,0
v1,738,8,0,early,14,139,8,0
v1,738,8,1,early,14,139,8,0
v2,738,8,0,early,14,139,8,0
v2,738,8,1,early,14,139,8,0
v1,571,7,0,early,15,129,7,0
v1,571,7,1,early,15,129,7,0
v2,571,7,0,early,15,129,7,0
v2,571,7,1,early,15,129,7,0
v1,36,1,0,early,16,20,8,0
v1,36,1,1,early,16,20,8,0
v2,36,1,0,early,16,20,8,0
v2,36,1,1,early,16,20,8,0
v1,102,2,0,early,16,43,9,0
v1,102,2,1,early,16,43,9,0
v2,102,2,0,early,16,43,9,0
v2,102,2,1,early,16,43,9,0
v1,325,4,0,early,16,78,11,0
v1,325,4,1,early,16,78,11,0
v2,325,4,0,early,16,78,11,0
v2,325,4,1,early,16,78,11,0
v1,386,6,0,early,16,104,9,0
v1,386,6,1,early,16,104,9,0
v2,386,6,0,early,16,104,9,0
v2,386,6,1,early,16,104,9,0
v1,115,2,0,early,16,41,6,0
v1,115,2,1,early,16,41,6,0
v2,115,2,0,early,16,41,6,0
v2,115,2,1,early,16,41,6,0
v1,628,5,0,early,12,95,9,0
v1,628,5,1,early,12,95,9,0
v2,628,5,0,early,12,95,9,0
v2,628,5,1,early,12,95,9,0
v1,520,3,0,early,12,62,10,0
v1,520,3,1,early,12,62,10,0
v2,520,3,0,early,12,62,10,0
v2,520,3,1,early,12,62,10,0
v1,31,1,0,early,16,20,8,0
v1,31,1,1,early,16,20,8,0
v2,31,1,0,early,16,20,8,0
v2,31,1,1,early,16,20,8,0
v1,551,1,0,early,13,20,6,0
v1,551,1,1,early,13,20,6,0
v2,551,1,0,early,13,20,6,0
v2,551,1,1,early,13,20,6,0
v1,652,8,0,early,12,143,9,0
v1,652,8,1,early,12,143,9,0
v2,652,8,0,early,12,143,9,0
v2,652,8,1,early,12,143,9,0
v1,830,8,0,early,10,156,3,0
v1,830,8,1,early,10,156,3,0
v2,830,8,0,early,10,156,3,0
v2,830,8,1,early,10,156,3,0
v1,24,5,0,early,16,101,7,0
v1,24,5,1,early,16,101,7,1
v2,24,5,0,early,16,101,7,0
v2,24,5,1,early,16,101,7,0
v1,131,3,0,early,16,60,12,0
v1,131,3,1,early,16,60,12,0
v2,131,3,0,early,16,60,12,0
v2,131,3,1,early,16,60,12,0
v1,70,1,0,early,16,20,7,0
v1,70,1,1,early,16,20,7,0
v2,70,1,0,early,16,20,7,0
v2,70,1,1,early,16,20,7,0
v1,916,7,0,early,12,138,6,0
v1,916,7,1,early,12,138,6,0
v2,916,7,0,early,12,138,6,0
v2,916,7,1,early,12,138,6,0
v1,870,7,0,early,14,110,13,0
v1,870,7,1,early,14,110,13,1
v2,870,7,0,early,14,110,13,0
v2,870,7,1,early,14,110,13,0
v1,162,1,0,early,16,20,8,0
v1,162,1,1,early,16,20,8,0
v2,162,1,0,early,16,20,8,0
v2,162,1,1,early,16,20,8,0
v1,834,0,0,early,14,0,0,0
v1,834,0,1,early,14,0,0,0
v2,834,0,0,early,14,0,0,0
v2,834,0,1,early,14,0,0,0
v1,847,4,0,early,15,81,5,0
v1,847,4,1,early,15,81,5,0
v2,847,4,0,early,15,81,5,0
v2,847,4,1,early,15,81,5,0
v1,91,4,0,early,16,76,12,0
v1,91,4,1,early,16,76,12,0
v2,91,4,0,early,16,76,12,0
v2,91,4,1,early,16,76,12,0
v1,32,6,0,early,16,111,8,0
v1,32,6,1,early,16,111,8,0
v2,32,6,0,early,16,111,8,0
