id,step,group,status,selected,deviate,oracle_gain,candidates,worlds,seconds,candidate_opportunity,reason
33,7,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,120.3441293000069,True,
982,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,167.69956280000042,True,
637,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,174.49129110001377,True,
547,6,early,QUALIFIED_ESTIMATE,0,False,0.0,5,16,129.06013769999845,False,
674,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,110.38946800000849,True,
606,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,86.93103720000363,True,
484,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,144.1951888000185,True,
212,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,172.74368640000466,True,
753,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,94.29052970002522,True,
824,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,136.04370179999387,True,
162,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,178.18138120000367,False,
909,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,151.70113870000932,True,
552,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,117.72175359999528,False,
485,4,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,126.36769380001351,True,
502,4,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,131.485228799982,True,
371,5,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,128.6927969000244,False,
978,7,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,124.88035409999429,False,
1002,7,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,136.73352979999618,False,
616,5,early,QUALIFIED_ESTIMATE,0,False,0.0,5,16,104.29330630000914,False,
962,2,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,108.29201779997675,False,
313,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,194.77584249997744,True,
932,6,early,QUALIFIED_ESTIMATE,0,False,0.0,5,16,97.89876939999522,False,
698,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,157.12153219999163,True,
1004,7,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,121.7966499000031,True,
70,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,183.33415000000969,True,
556,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,174.40690489998087,True,
162,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,144.93154710001545,True,
736,6,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,118.3032900999824,False,
181,6,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,139.1630535000004,False,
880,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,115.34332339998218,False,
834,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,186.8348003999854,False,
635,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,200.53543899999931,True,
755,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,126.77007319999393,False,
663,5,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,113.84693349999725,False,
513,2,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,142.6804624000215,False,
169,2,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,126.85558319999836,True,
368,5,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,137.03731139999582,False,
826,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,212.97261350002373,False,
720,4,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,122.43321190000279,True,
102,2,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,133.39933260000544,True,
970,0,early,QUALIFIED_ESTIMATE,0,False,0.0,7,16,194.86996579999686,True,
586,7,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,118.38370310000028,True,
531,3,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,109.87956609998946,True,
909,7,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,99.51969410001766,True,
905,2,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,143.95091350001167,True,
923,4,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,96.60939989998587,True,
833,7,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,138.115255599987,False,
416,1,early,QUALIFIED_ESTIMATE,0,False,0.0,6,16,183.54486369999358,True,
576,8,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,111.78202260000398,False,
866,5,early,QUALIFIED_ESTIMATE,0,False,0.0,4,16,113.2066535000049,False,
679,15,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,134.79550559999188,False,
502,11,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,142.325410200021,True,
512,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,101.13295530001051,True,
690,15,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,130.4710058000055,False,
603,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,117.32221860002028,False,
499,7,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,138.80803789998754,True,
396,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,187.8640061999904,True,
52,11,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,123.48395789999631,True,
26,8,middle,QUALIFIED_ESTIMATE,0,False,0.0,3,16,116.3104522000067,True,
39,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,143.73559239998576,True,
650,11,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,110.78111129999161,False,
284,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,132.93785839999327,True,
773,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,95.32580520000192,True,
987,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,115.61487510000006,False,
812,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,95.95820859997184,False,
864,13,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,130.91965350002283,False,
292,8,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,130.2766452000069,True,
613,11,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,131.43897640000796,False,
486,10,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,137.03367360000266,True,
470,10,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,105.95707820000825,False,
248,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,123.83347440001671,True,
845,14,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,116.44840929997736,False,
879,15,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,111.29578710001078,False,
23,8,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,138.2830700999766,True,
213,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,110.49597040002118,True,
803,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,145.37503660001676,False,
808,14,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,119.69290340002044,False,
94,12,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,113.00428910000483,True,
405,12,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,118.60123369999928,False,
36,10,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,142.738981100003,True,
524,16,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,91.05100690000108,False,
594,12,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,135.2284040999948,False,
244,8,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,125.59026799999992,True,
122,10,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,91.89862449999782,False,
290,8,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,137.31222400002298,True,
473,8,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,141.2541354999994,False,
495,11,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,156.5665672000032,True,
114,7,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,139.1942714000179,True,
809,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,119.22981570000411,False,
534,13,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,121.70905790000688,False,
68,5,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,156.55530490001547,True,
691,9,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,133.03658200000064,False,
400,11,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,151.4971498999803,True,
631,16,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,125.93658639999921,False,
248,7,middle,QUALIFIED_ESTIMATE,0,False,0.0,4,16,115.67574499998591,True,
958,12,middle,QUALIFIED_ESTIMATE,0,False,0.0,5,16,113.38307619999978,False,
