id,step,phase,N,time_s,nodes,sample_group,remaining_cost,spearman,constant_prediction,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,top3_available_gain,margin,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
0,16,late,16,5266.634853,9,late,3745.008117000001,0.21757512627648798,False,True,True,0.6666666666666666,0.0,475.99491000000125,475.99491000000125,475.99491000000125,0.08831420479952301,True,False,False,False,True,False
0,17,late,16,5519.634853,8,N16_late,3492.008117000001,0.3571428571428572,False,True,True,0.6666666666666666,0.0,405.371658,405.371658,405.371658,0.1614957544088832,True,False,False,False,True,False
0,18,late,16,5616.616996,7,late,3395.025974000001,-0.10714285714285716,False,False,True,0.6666666666666666,366.8009519999996,290.9190670000007,-75.88188499999887,290.9190670000007,0.08776441310659477,False,False,False,False,False,False
1,12,middle,16,3766.456861,13,middle,2584.6643419999996,0.19230769230769232,False,False,False,0.3333333333333333,760.9701930000001,183.66874499999994,-577.3014480000002,0.0,0.04944740337690645,True,True,False,False,False,False
1,15,late,16,4555.506386,10,N16_late,1795.6148169999997,0.0303030303030303,False,False,False,0.3333333333333333,533.4404359999999,0.0,-533.4404359999999,-518.3658150000001,0.20147915072751565,True,False,False,False,False,False
1,17,late,16,5070.693491,8,N16_late,1280.4277119999997,-0.30952380952380953,False,False,False,0.0,450.8989569999994,9.409912999999506,-441.4890439999999,-441.4890439999999,0.11276696044099765,True,True,False,False,False,False
1,19,late,16,5683.596829,6,N16_late,667.5243739999996,0.2571428571428572,False,False,True,0.6666666666666666,433.6152970000003,221.73533700000007,-211.8799600000002,221.73533700000007,0.08530447911424255,True,False,False,False,True,False
2,2,early,16,776.264675,23,early,6160.1142279999995,0.4189723320158103,False,False,False,0.3333333333333333,873.6050810000006,721.082386,-152.52269500000057,356.70372599999973,0.17275163218840617,True,False,False,False,False,False
2,14,late,16,3964.145947,11,late,2972.232956,0.08181818181818183,False,False,False,0.6666666666666666,286.67659600000025,476.51622099999986,189.83962499999961,189.83962499999961,0.7455932032827067,True,False,False,False,False,False
2,15,late,16,4127.369122,10,N16_late,2809.0097809999997,0.29696969696969694,False,True,True,0.3333333333333333,0.0,506.0348669999994,506.0348669999994,506.0348669999994,0.3830158876919386,True,False,False,False,False,False
2,16,late,16,4408.052311,9,N16_late,2528.3265919999994,0.049999999999999996,False,True,True,0.3333333333333333,0.0,310.65555099999983,310.65555099999983,310.65555099999983,0.37785254883938535,True,True,False,False,False,False
4,13,middle,16,4083.638877,12,middle,2771.2136480000004,-0.25874125874125875,False,False,False,0.0,1110.4340440000005,301.08881400000064,-809.3452299999999,-10.167123999999603,0.685730476750427,True,False,False,False,False,False
4,19,late,16,5581.497817,6,late,1273.3547079999998,0.5428571428571429,False,False,True,0.6666666666666666,725.152634,346.88558400000056,-378.2670499999995,346.88558400000056,0.09837451235370609,False,False,False,False,False,False
4,21,late,16,6032.116168,4,late,822.7363570000007,-0.19999999999999998,False,False,False,0.6666666666666666,337.19401899999957,0.0,-337.19401899999957,-337.19401899999957,0.017069578026167598,False,True,False,False,False,True
6,12,late,16,3381.875557,13,N16_late,1593.432416,0.34615384615384615,False,False,False,0.3333333333333333,444.8604319999995,464.29135099999985,19.430919000000358,19.430919000000358,0.35084273222658724,True,False,False,False,True,False
7,14,late,16,5007.338484,11,N16_late,1727.5473250000005,0.38181818181818183,False,False,True,0.6666666666666666,188.70244399999956,339.4267950000003,150.72435100000075,339.4267950000003,0.1394579463036011,True,False,False,False,True,False
8,22,late,16,6332.807742,3,N16_late,848.7811929999998,0.0,False,False,True,1.0,99.66533199999958,99.66533199999958,0.0,99.66533199999958,0.009957627118644008,False,False,False,False,False,False
8,23,late,16,6555.807742,2,N16_late,625.7811929999998,0.9999999999999999,False,True,True,1.0,0.0,70.66533199999958,70.66533199999958,70.66533199999958,0.023776059967205443,True,False,False,False,True,False
9,9,middle,16,3029.165647,16,middle,3010.4542490000003,-0.6647058823529411,False,False,False,0.0,1648.349956,0.0,-1648.349956,-1300.785656,0.690465556614771,True,False,False,False,False,False
9,14,late,16,4241.005161,11,N16_late,1798.614735,0.06363636363636364,False,False,False,0.0,580.8891629999998,262.1413220000004,-318.7478409999994,-277.9648699999998,0.33946676730726777,True,False,False,False,True,False
