id,N,group,spearman,top1,top3,pred_gain,best_gain,top3_gain,hit,R12hit,pred_release,R12release
0,16,late,0.21757512627648798,True,True,475.99491000000125,475.99491000000125,475.99491000000125,True,False,True,False
0,16,N16_late,0.3571428571428572,True,True,405.371658,405.371658,405.371658,True,False,True,False
0,16,late,-0.10714285714285716,False,True,-75.88188499999887,290.9190670000007,290.9190670000007,False,False,False,False
1,16,middle,0.19230769230769232,False,False,-577.3014480000002,183.66874499999994,0.0,True,True,False,False
1,16,N16_late,0.0303030303030303,False,False,-533.4404359999999,0.0,0.0,True,False,False,False
1,16,N16_late,-0.30952380952380953,False,False,-441.4890439999999,9.409912999999506,0.0,True,True,False,False
1,16,N16_late,0.2571428571428572,False,True,-211.8799600000002,221.73533700000007,221.73533700000007,True,False,True,False
2,16,early,0.4189723320158103,False,False,-152.52269500000057,721.082386,356.70372599999973,True,False,False,False
2,16,late,0.08181818181818183,False,False,189.83962499999961,476.51622099999986,189.83962499999961,True,False,False,False
2,16,N16_late,0.29696969696969694,True,True,506.0348669999994,506.0348669999994,506.0348669999994,True,False,False,False
2,16,N16_late,0.049999999999999996,True,True,310.65555099999983,310.65555099999983,310.65555099999983,True,True,False,False
4,16,middle,-0.25874125874125875,False,False,-809.3452299999999,301.08881400000064,0.0,True,False,False,False
4,16,late,0.5428571428571429,False,True,-378.2670499999995,346.88558400000056,346.88558400000056,False,False,False,False
4,16,late,-0.19999999999999998,False,False,-337.19401899999957,0.0,0.0,False,True,False,True
6,16,N16_late,0.34615384615384615,False,False,19.430919000000358,464.29135099999985,19.430919000000358,True,False,True,False
7,16,N16_late,0.38181818181818183,False,True,150.72435100000075,339.4267950000003,339.4267950000003,True,False,True,False
8,16,N16_late,0.0,False,True,0.0,99.66533199999958,99.66533199999958,False,False,False,False
8,16,N16_late,0.9999999999999999,True,True,70.66533199999958,70.66533199999958,70.66533199999958,True,False,True,False
9,16,middle,-0.6647058823529411,False,False,-1648.349956,0.0,0.0,True,False,False,False
9,16,N16_late,0.06363636363636364,False,False,-318.7478409999994,262.1413220000004,0.0,True,False,True,False
9,16,N16_late,0.35,False,False,-56.56600199999957,182.0907500000003,0.0,True,True,True,True
10,16,N16_late,0.3321428571428571,False,False,303.60112500000014,469.08327199999985,303.60112500000014,True,False,True,False
10,16,N16_late,0.3516483516483516,False,False,97.92846099999952,266.161521,97.92846099999952,True,True,True,False
10,16,N16_late,0.30069930069930073,False,False,-126.74652100000003,0.0,0.0,True,False,True,False
11,16,late,0.19999999999999998,False,True,-294.6140609999993,0.0,0.0,True,True,True,True
12,16,early,-0.16753246753246753,True,True,44.042875000000095,44.042875000000095,44.042875000000095,True,False,False,False
13,16,late,0.07941176470588236,False,False,-215.80116299999918,232.04668700000002,0.0,True,False,False,False
14,16,middle,-0.47368421052631576,False,False,-235.5508489999993,0.0,0.0,True,False,False,False
14,16,N16_late,0.5515151515151515,False,True,-570.834546,217.66392300000007,217.66392300000007,True,True,False,False
